종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고	시장구분	시장상승세	시장사유	업종상승세	업종사유	종가	MA30	MA30위	MA30우상향	최근피벗고점개수	윗저항개수(10%)	가장가까운윗저항	윗저항여유(%)	윗저항적음	돌파기준가격	저항돌파	1주최고거래량/지난달평균	최근20일누적/직전20일누적	돌파거래량급증	늦은진입거리(%)	늦은진입아님	기술점수	타이밍종합판정	타이밍사유
196170	알테오젠	직접추가	메인	379000.0	371.0	2653.0	66380706542.0	363641391678.0	6204706421.0	0.0						판정불가	일반	일반	7920.963462850038	7920.963462850038	139.87148003661892	139.87148003661892	N	N	126.3651877133106			261.2303754266212			693044.1860068261			82.86126279863485			1년	261.2303754266212	693044.1860068261	82.86126279863485	0.09788918205804749	0.9041376902729571			1695.3263015208747	0.44731564683928093	1년	0.9041376902729571	불리(<1)	1년	126.3651877133106	1.1068830155497458	보통	Y	통과	제외	배당감안점수<1	53505788.0	배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	376500.0	362250.0	Y	Y	13.0	3.0	381000.0	1.195219123505975	N	559000.0	N	1.2202867697620732	0.6999745174400436	N		N	4	C. 보류	윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
247540	에코프로비엠	2차전지	메인	211500.0	100.0	403.0	518548123832.0	17217642963.0	908362087372.0	863305167008.0						판정불가	일반	일반	-3809.7259744917205	-12636.85586554925	534.2673101104012	556.1708582271693	Y	Y	-140.78947368421052	-48.08965332121203	-29.141298397230276										3년				0.04728132387706856	-0.26343028985106803	-0.08992197555079211	-0.05445591845651422	-2285.196699076037	-1.0804712525182207	3년	-0.08992197555079211	불리(<1)	3년	-48.08965332121203		판정불가	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	97801344.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	211000.0	201733.33333333334	Y	Y	13.0	3.0	214000.0	1.4218009478673022	N	246000.0	N	1.5083847237061798	0.7981169828781213	N		N	4	C. 보류	윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
086520	에코프로	직접추가	메인	156400.0	150.0		1186767418765.0	423610001201.0	485092134487.0							판정불가	일반	일반	8287.79773843495	8287.79773843495			N	N													판정불가				0.0959079283887468				-3483.5949425198028	-2.2273624952172653	판정불가		판정불가	판정불가			판정불가	N	주당FCF<=0 / 순현금차감PER<=0	제외	하드필터 미통과	135776152.0	주당FCF 음수; EPS 미추출; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	160100.0	149903.33333333334	Y	Y	13.0	4.0	170000.0	6.183635227982509	N	185000.0	N	1.5213556061334594	0.7079626699739014	N		N	4	C. 보류	윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
028300	HLB	직접추가	메인	61900.0		-1680.0	40983350542.0	17820367452.0	17093527411.0							판정불가	일반	일반	314.23834862301965	314.23834862301965			N	N	138.63636363636363			285.77272727272725									1년	285.77272727272725							-829.6365716076274	-1.3402852530010136	판정불가		판정불가	1년	138.63636363636363		판정불가	N	주당FCF<=0 / 순현금차감PER<=0	제외	하드필터 미통과	132734247.0	주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	62400.0	56100.0	Y	Y	11.0	2.0	67200.0	7.692307692307687	N	68200.0	N	0.7864640535675791	1.0507451726103905	N		N	4	C. 보류	윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
000250	삼천당제약	직접추가	메인	445000.0	50.0	226.0	95943976392.0	13034373599.0	23423415405.0	44784077259.0						판정불가	일반	일반	3647.2359249112606	1738.075497947946	1952.8883366154369	1961.3359491241242	N	N	-147.67932489451476	-5.168157543831642											3년				0.011235955056179775	-0.075615223958674	-0.0026406638270537043		-2122.772468832106	-0.4770275210858665	3년	-0.0026406638270537043	불리(<1)	3년	-5.168157543831642		판정불가	N	주당FCF<=0	제외	하드필터 미통과	23457472.0	단기위험부채 존재; 주당FCF 음수; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	431000.0	666900.0	N	N	10.0	0.0	540000.0	25.290023201856137	Y	1184000.0	N	2.0156569596702396	1.8429685046194595	Y		N	4	C. 보류	MA30 아래; MA30 우하향/평탄; 저항 미돌파; 늦은 진입 또는 돌파 없음
068760	셀트리온제약	직접추가	메인	57900.0	200.0	892.0	49871871397.0	67056726028.0	16559995254.0	142000000000.0						판정불가	일반	일반	2297.7149853074225	-953.057874493612	62.33440024068675	65.9787644332888	N	Y	67.984934086629	8.88354924631798	8.803232347597788	144.469868173258	26.26709849263596	26.106464695195577	128867.12241054613	23430.251855431277	23286.966508114456	122.56843248798988	-59.53324377300297	-59.78071414833428	3년	26.26709849263596	23430.251855431277	-59.53324377300297	0.3454231433506045	1.096190176951108	0.1480558464352509	0.14676736209257543	1568.3314891607329	2.7086899640081743	3년	0.1480558464352509	불리(<1)	3년	8.88354924631798	7.016835108616399	매우 불리	Y	통과	제외	배당감안점수<1	43681920.0	주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; PER>연성장률의 2배; fs=2025:OFS,2024:OFS,2022:OFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	57900.0	57376.666666666664	Y	N	9.0	4.0	58500.0	1.0362694300518172	N	75700.0	N	1.4612880778984978	0.6271142467188896	N		N	3	C. 보류	MA30 우하향/평탄; 윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
348370	엔켐	직접추가	메인	47850.0		-3154.0	12134632154.0	0.0	32868533981.0	162465223096.0						판정불가	일반	일반	-948.9140857979099	-8384.34712365177			Y	Y	-88.85748604536141												1년								-895.310607494617	-1.871077549623024	판정불가		판정불가	1년	-88.85748604536141		판정불가	N	주당순현금<=0 / 주당FCF<=0 / 순현금차감PER<=0	제외	하드필터 미통과	21850136.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:NA	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	47350.0	42380.0	Y	N	8.0	0.0	65400.0	38.12038014783528	Y	96100.0	N	1.8452502412664609	0.7648010378925663	N		N	4	C. 보류	MA30 우하향/평탄; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
293490	카카오게임즈	직접추가	메인	12440.0			492159413083.0	415963677118.0	716847138862.0	305479052047.0						판정불가	일반	일반	2130.3322411771132	-1271.9348448015992			N	Y													판정불가								-617.2075731171997	-4.961475668144692	판정불가		판정불가	판정불가			판정불가	N	주당FCF<=0 / 순현금차감PER<=0	제외	하드필터 미통과	89786911.0	주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; EPS 미추출; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	12320.0	12595.333333333334	N	N	12.0	1.0	12590.0	2.19155844155845	Y	17760.0	N	0.6620965876718433	0.39600283734048425	N		N	3	C. 보류	MA30 아래; MA30 우하향/평탄; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
263750	펄어비스	직접추가	메인	60200.0		-137.0	133874628885.0	233908957944.0	13323877549.0							판정불가	일반	일반	5517.066823164758	5517.066823164758			N	N	-113.95112016293278												1년								302.9620397443619	0.5032592022331593	판정불가		판정불가	1년	-113.95112016293278		판정불가	N	순현금차감PER<=0	제외	하드필터 미통과	64247855.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	60800.0	56675.0	Y	N	14.0	1.0	66100.0	8.717105263157897	Y	72000.0	N	0.5823631089513338	0.4261340464293527	N		N	4	C. 보류	MA30 우하향/평탄; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
058470	리노공업	반도체소부장	메인	110400.0	800.0	2002.0	85202812409.0									판정불가	일반	일반	1117.9732864246178	1117.9732864246178	54.586426929857836	54.586426929857836	N	N	-73.17432667827951	-35.70959636196842	-11.30853089688001										3년				0.7246376811594203	-1.3272473226763146	-0.6409094833366503	-0.19389239800070854	1564.4878741822959	1.417108581686862	3년	-0.6409094833366503	불리(<1)	3년	-35.70959636196842		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	76211850.0	1년 점수 과열 가능; 배당감안점수<1; fs=2025:OFS,2024:OFS,2022:OFS,2020:OFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	110700.0	110993.33333333333	N	Y	12.0	2.0	116800.0	5.510388437217695	N	127000.0	N	4.585053106657281	0.8983872453765747	Y		N	4	C. 보류	MA30 아래; 윗저항 많음; 저항 미돌파; 늦은 진입 또는 돌파 없음
