순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
1	015750	성우하이텍	직접추가	메인	6030.0	200.0	2110.0	393080902555.0	91530269981.0	2365979543.0	1905976554324.0						판정불가	일반	일반	6028.0649124125	-17796.6420166375	0.0009171031220378035	11.29224740125	N	Y	20.84765177548682	63.02385728102815		50.19530355097364	134.54771456205629		105912.09049255439	283895.6777259388		1656.4194111534725	4608.054356980742		3년	134.54771456205629	283895.6777259388	4608.054356980742	3.316749585406302	26348.619670162952	72337.1290232069		791.4473300375	13.125163018864013	3년	72337.1290232069	안심(>=2)	3년	63.02385728102815	1.4551681880535672e-05	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	80000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
2	039200	오스코텍	직접추가	메인	36600.0		1368.0	15192017092.0		7091325790.0	6000000000.0						판정불가	일반	일반	211.7375198964007	54.90829730094817	26.599607076099122	26.71424832068644	N	N	5847.826086956522			11704.152173913044			16011280.173913045			43646.667141838916			1년	11704.152173913044	16011280.173913045	43646.667141838916		219.84633345246075					1년	219.84633345246075	안심(>=2)	1년	5847.826086956522	0.00454863169331063	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	38258176.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
3	171090	선익시스템	직접추가	메인	66600.0	1000.0	10959.0	149747229475.0	1000000000.0	41619580773.0	37350000000.0						판정불가	일반	일반	11413.23046060536	7506.941240834078	5.035748657669006	5.392194430072627	N	N	-441.2955465587045		108.97178221983204			226.44356443966407			2481595.0226942785			3626.118652694112	5년	226.44356443966407	2481595.0226942785	3626.118652694112	1.5015015015015014	-87.33439155813208		21.937807311548873	7500.184985855782	11.261539017801473	5년	21.937807311548873	안심(>=2)	5년	108.97178221983204	0.04621149214124295	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	9561504.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
4	041510	에스엠	직접추가	메인	71000.0	1620.0	15166.0	364611980599.0	229637014667.0	71674775222.0	5166699000.0						판정불가	일반	일반	22825.127575171362	22599.45520310605	3.176504841410302	3.191384992542131	N	N	1807.6729559748428	64.77467023251435		3623.8459119496856	138.0493404650287		54959247.100628935	2093656.2974926254		77307.39028257597	2848.8116866093314		3년	138.0493404650287	2093656.2974926254	2848.8116866093314	2.2816901408450705	569.7943924153145	21.11010803420901				3년	21.11010803420901	안심(>=2)	3년	64.77467023251435	0.04903930548790074	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	22894690.0	단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
5	018290	브이티	직접추가	메인	12520.0		1728.0	84220398087.0	525529750.0	0.0	35176445000.0						판정불가	일반	일반	2425.342588933072	1418.6283743001727	5.841815631404472	6.424404875983696	N	N	-37.41398044186889	71.59549321993607	119.38804809293298		151.69098643987215	247.27609618586595		262122.02456809906	427293.0942091764		1993.6263943138904	3312.884139050929	3년	151.69098643987215	262122.02456809906	1993.6263943138904		-6.40451236439893	12.255692020654081	20.436805203355938	1286.287521709648	10.273861994486007	3년	12.255692020654081	안심(>=2)	3년	71.59549321993607	0.08159473967808065	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	34941838.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
6	067160	SOOP	직접추가	메인	39350.0	3380.0	9556.0	134011835737.0	116354281889.0	5107094014.0	341000000.0						판정불가	일반	일반	21336.580690326304	21306.915017242194	1.8850376004262972	1.8881420032186904	N	N	0.7060807250500512	20.62187794636918	22.171262636843704	9.912161450100102	49.74375589273836	52.84252527368741	94720.61481715657	475351.3313110078	504963.17151535687	140.71312532949577	1108.008465847542	1183.2609187175524	3년	49.74375589273836	475351.3313110078	1108.008465847542	8.589580686149937	4.931286998783363	15.49648591938591	16.318424266994537	8736.18659282089	22.201236576419035	3년	15.49648591938591	안심(>=2)	3년	20.62187794636918	0.09140959932595222	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11494767.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
7	033500	동성화인텍	직접추가	메인	18050.0	400.0	1869.0	80845872158.0	216438728.0		7174500000.0						판정불가	일반	일반	2703.023628408002	2463.7898487383613	8.211330321879078	8.339331274083275	N	N	37.933579335793354	85.03864028854527	18.260466581831338	84.36715867158671	178.57728057709053	45.020933163662676	157682.21955719555	333760.93739858223	84144.12408288554	773.5857039179809	1749.091065920123	366.17243259216366	3년	178.57728057709053	333760.93739858223	1749.091065920123	2.21606648199446	4.889542162347206	10.626135272874077	2.4936925274174033	2286.215405268258	12.666013325585917	3년	10.626135272874077	안심(>=2)	3년	85.03864028854527	0.09655999077615952	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	29989494.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
8	095660	네오위즈	직접추가	메인	18110.0	303.0	2522.0	71506938430.0									판정불가	일반	일반	3271.6081990167277	3271.6081990167277	5.8835812057824235	5.8835812057824235	N	N	2037.2881355932204	59.20438360697895	-2.0836107187727326	4083.076271186441	126.9087672139579	4.332778562454535	10297518.355932204	320063.9109136018	10927.267534510336	56760.951716908916	1667.3324732943224	-39.661692244559156	3년	126.9087672139579	320063.9109136018	1667.3324732943224	1.6731087796797348	346.5510499572939	10.347013197816981	-0.06977076116321021	3260.7172211176594	18.00506472179823	3년	10.347013197816981	안심(>=2)	3년	59.20438360697895	0.09937745902127547	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	21856816.0	1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
9	257720	실리콘투	직접추가	메인	44500.0	306.0	2756.0	77322804082.0	702044561.0	13804276303.0	41523500000.0						판정불가	일반	일반	979.3266675259208	346.1172550697164	15.791245766500028	16.02100244736222	N	N	38.49246231155779	145.61530361348161		85.48492462311557	299.73060722696323		235596.45226130652	826057.5535175106		429.4302298006888	1756.3091090281137		3년	299.73060722696323	826057.5535175106	1756.3091090281137	0.6876404494382022	2.4811280465353605	9.264813316583977		-89.94114448626921	-0.20211493142981846	3년	9.264813316583977	안심(>=2)	3년	145.61530361348161	0.10844495993646382	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	65576252.0	단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:NA
10	053800	안랩	직접추가	메인	57200.0	1400.0	5714.0	67126196416.0	212621651635.0	1087944763.0	210000000.0						판정불가	일반	일반	25044.690874925156	25025.817025398628	5.627460469911593	5.630763558733177	N	N	51.84693064044645	51.8781942609736	21.726884580572147	112.1938612808929	112.2563885219472	51.953769161144294	641075.723359022	641433.0040144064	296863.8369867785	1020.7617541241644	1021.3863706545565	418.9927220048575	3년	112.2563885219472	641433.0040144064	1021.3863706545565	2.4475524475524475	9.648132293117975	9.65368784001063	4.295798639080333	5241.269111345467	9.163057886967598	3년	9.65368784001063	안심(>=2)	3년	51.8781942609736	0.10847448624758634	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11126506.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
