종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
"=""010130"""	고려아연	소재			20000.0	42566.0	3451069963536.0	1038402532013.0	2668945939951.0	3128688084125.0									87219.33882994796	-62672.518151442666					348.6298482293424	-0.31206428596768365	5.597910450753152	705.7596964586847	7.875871428064633	19.695820901506302	30041367.239460375	335244.3432069992	838372.3124935173					7.875871428064633	335244.3432069992						-75274.78704653852						-0.31206428596768365							20872969.0	주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 현재가 미수집; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS | 주당순현금⚠️
"=""000810"""	삼성화재해상보험	직접추가			19500.0	47478.0		11734007737216.0											255025.28109142228	255025.28109142228					-2.667131347506102			3.165737304987796			150302.87576621058							3.165737304987796	150302.87576621058						72732.0784920961						-2.667131347506102							46011155.0	현재가 미수집; fs=2025:CFS,2024:CFS,2022:NA,2020:NA
"=""002380"""	케이씨씨	직접추가			15000.0		1193612441434.0	36838546215.0	2949860953111.0	758686269704.0									-193486.25179354099	-278861.68031899276																									51624.29856328795													8886471.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 현재가 미수집; EPS 미추출; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS | 주당순현금⚠️ 주당순현금⚠️
"=""017800"""	현대엘리베이터	직접추가			14010.0		546026985679.0	858153283222.0	939270698991.0										11892.58649504245	11892.58649504245																									5302.308441375475													39092385.0	현재가 미수집; EPS 미추출; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""009540"""	HD한국조선해양	직접추가			12300.0	30664.0	3742015549000.0		398797408000.0										47238.53250999998	47238.53250999998					84.96802991916998			178.43605983833996			5471563.338882856							178.43605983833996	5471563.338882856												84.96802991916998							70773116.0	현재가 미수집; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""039490"""	키움증권	직접추가			11500.0	42059.0		62457765152889.0											2288251.0791779323	2288251.0791779323					43.20394960844398			94.90789921688796			3991731.3331630905							94.90789921688796	3991731.3331630905						-250622.40952773768						43.20394960844398							27294979.0	주당FCF 음수; 현재가 미수집; fs=2025:CFS,2024:CFS,2022:NA,2020:NA
"=""298020"""	효성티앤씨	직접추가			10100.0	2517.0	78332153321.0		1022720440533.0										-218220.35149809992	-218220.35149809992					-91.92622293504411	-2.1428862261368864	-39.74816600029081		4.214227547726227			10607.210737626914						4.214227547726227	10607.210737626914						-681.4700322251034						-2.1428862261368864							4327682.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 주당FCF 음수; 현재가 미수집; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS | 주당순현금⚠️ 주당순현금⚠️
"=""005380"""	현대자동차	직접추가			10000.0	36088.0	18360566000000.0	5857507000000.0	131240462000000.0	10388351000000.0									-522678.0458231802	-573412.8785132379					-24.20875774440827	8.159836431248424	45.92494426173537		24.819672862496848	100.34988852347074		895692.3542617862	3621426.777035012					24.819672862496848	895692.3542617862						-83323.46231986141						8.159836431248424							204757766.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 현재가 미수집; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS | 주당순현금⚠️ 주당순현금⚠️
"=""005490"""	POSCO홀딩스	철강			10000.0	8697.0	7049800440769.0		16374578210992.0										-115216.08368150219	-115216.08368150219					-39.817313680714136	-40.58072367872994	-15.48101970257214																		-20625.34356158169						-40.58072367872994							80932952.0	린치식 단독판정 비중 낮춤; 주당순현금 음수(린치식); 주당순현금 음수(보수형); 주당FCF 음수; 현재가 미수집; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS | 주당순현금⚠️ 주당순현금⚠️
"=""007310"""	오뚜기	직접추가			9000.0	20279.0	412685029869.0	273077178893.0	186473980697.0	509239504017.0									124578.19519914767	-2482.958596547259					-49.363264083100276	-36.84393156790511	-8.312202484315046																		8412.798855490377						-36.84393156790511							4007830.0	주당순현금 음수(보수형); 단기위험부채 존재; 현재가 미수집; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS | 주당순현금⚠️
