순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
1	139130	iM금융지주	직접추가	메인	19280.0	700.0	2511.0		10012037000000.0	9824584000000.0							판정불가	일반	일반	1167.025597818984	1167.025597818984	7.213450578327763	7.213450578327763	N	N	123.9964317573595			256.49286351471903			644053.5802854595			3240.5268687005164			1년	256.49286351471903	644053.5802854595	3240.5268687005164	3.630705394190872	17.692938457913044					1년	17.692938457913044	안심(>=2)	1년	123.9964317573595	0.05817466257773685	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	160624583.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
2	010140	삼성중공업	직접추가	메인	30150.0		639.0	772614649370.0	311797002761.0	592438711867.0	1454489650793.0						판정불가	일반	일반	559.0601593909091	-1093.7689892375	46.308200063551006	48.89478715060641	N	Y	752.0			1512.5			966487.5			3105.597014925373			1년	1512.5	966487.5	3105.597014925373		16.239024599703587			1530.2205002727273	5.075358209859792	1년	16.239024599703587	안심(>=2)	1년	752.0	0.06158005327599868	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	880000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
3	015760	한국전력	유틸리티	메인	39650.0	1542.0	13311.0	2240811000000.0	4250164000000.0	83995702000000.0							판정불가	일반	일반	-120730.62929345189	-120730.62929345189	12.048728817778672	12.048728817778672	Y	Y	144.73248758963044			297.9649751792609			3966211.7846111413			9903.056203306787			1년	297.9649751792609	3966211.7846111413	9903.056203306787	3.8890290037831026	12.33503706831819			7699.067871674695	19.417573446846646	1년	12.33503706831819	안심(>=2)	1년	144.73248758963044	0.08324826732710645	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	641964077.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
4	004490	세방전지	직접추가	메인	62400.0	2650.0	10646.0	227178088991.0	123000000000.0	162095437595.0	251228623014.0						판정불가	일반	일반	13434.475099714286	-4510.426544142857	4.599429353774725	6.285029733622286	N	Y	-17.389617443935744	48.94307252053962	16.711840434713388		106.38614504107925	41.923680869426775		1132586.9001073297	446319.50653591746		1715.0431091463615	615.2556194485857	3년	106.38614504107925	1132586.9001073297	1715.0431091463615	4.246794871794872	-2.85748982346139	11.56444926122887	4.556790352548329	11070.1328675	17.740597544070514	3년	11.56444926122887	안심(>=2)	3년	48.94307252053962	0.09397508404983182	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	14000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
5	402340	SK스퀘어	직접추가	메인	1171000.0		66713.0	1310718000000.0	317762000000.0	86661000000.0	0.0						판정불가	일반	일반	11672.743401201547	11672.743401201547	17.37783125625888	17.37783125625888	N	N	140.21676508713813			288.93353017427626			19275622.59851649			1546.0822031184023			1년	288.93353017427626	19275622.59851649	1546.0822031184023		8.068714848214274			2638.92507607574	0.22535653937452946	1년	8.068714848214274	안심(>=2)	1년	140.21676508713813	0.12393547408870383	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	132087115.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
6	071970	HD현대마린엔진	직접추가	메인	84200.0		4867.0	94276230277.0	247003276789.0								판정불가	일반	일반	10060.862797055377	10060.862797055377	15.233025930335858	15.233025930335858	N	N	97.52435064935065	113.65854515790357	162.5665198099373	203.5487012987013	235.81709031580715	333.6330396198746	990671.5292207792	1147721.7785670334	1623792.0038299295	1076.5695121386925	1263.0899982981393	1828.4940663063296	3년	235.81709031580715	1147721.7785670334	1263.0899982981393		6.402165340973751	7.461324209496546	10.671978144945824			3년	7.461324209496546	안심(>=2)	3년	113.65854515790357	0.13402446696086875	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	33921495.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
7	009540	HD한국조선해양	직접추가	메인	437500.0	12300.0	30664.0	3742015549000.0		398797408000.0							판정불가	일반	일반	47238.53250999998	47238.53250999998	12.727024115901383	12.727024115901383	N	N	84.96802991916998			178.43605983833996			5471563.338882856			1150.64304888751			1년	178.43605983833996	5471563.338882856	1150.64304888751	2.8114285714285714	6.8970921789112705					1년	6.8970921789112705	안심(>=2)	1년	84.96802991916998	0.14978603279384717	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	70773116.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
8	069620	대웅제약	직접추가	메인	144900.0	600.0	17022.0	168941641596.0	50139032546.0	550560567693.0	70828808025.0						판정불가	일반	일반	-28608.962834228405	-34721.96931155238	10.193218354730844	10.552342222509246	Y	Y	691.7209302325581	64.61424206621207	70.08103158930474	1391.9418604651162	137.72848413242414	148.6620631786095	23693634.348837208	2344414.256902124	2530525.6394262905	16251.714526457701	1517.9532483796575	1646.3945061603108	3년	137.72848413242414	2344414.256902124	1517.9532483796575	0.4140786749482402	67.90151891392328	6.379567127685397	6.9158834639831905	-7954.179962240783	-5.489427165107511	3년	6.379567127685397	안심(>=2)	3년	64.61424206621207	0.15775497829542842	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	11586575.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
9	071320	지역난방공사	유틸리티	메인	76800.0	6157.0	28102.0	13136000000.0	14472000000.0	3000419000000.0							판정불가	일반	일반	-256747.27759763927	-256747.27759763927	11.86916509848549	11.86916509848549	Y	Y	66.77744807121661		65.27173293436219	142.05489614243322		139.04346586872438	3992026.6913946583		3907399.4778428925	5097.951421086795		4987.7597367746	5년	139.04346586872438	3907399.4778428925	4987.7597367746	8.016927083333334	6.301570037482563		6.1747106396765155	29663.925551856057	38.62490306231257	5년	6.1747106396765155	안심(>=2)	5년	65.27173293436219	0.18184234683061384	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	11578744.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
10	000660	SK하이닉스	반도체	메인	1970000.0	3000.0	62044.0	14923766000000.0	20018487000000.0								판정불가	일반	일반	47997.4443489617	47997.4443489617	30.978056792776712	30.978056792776712	N	N	115.94041486843936	167.48263503477668	54.92375157287208	240.38082973687872	343.46527006955336	118.34750314574416	14914188.200194903	21309959.216195367	7342752.485174551	657.0653908728377	981.723818080983	272.7285525469315	3년	343.46527006955336	21309959.216195367	981.723818080983	0.15228426395939085	3.7475784846346007	5.411408482465699	1.7779047990406482	34057.28359137954	1.7287961213898244	3년	5.411408482465699	안심(>=2)	3년	167.48263503477668	0.18496279800197984	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	728002365.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
