티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
0700.HK	0700.HK	China / Hong Kong	462.6000061035156	-17.09677309972838	-26.4546890137495		-31.719556294684036	497.2800010681152	580.256000213623	N	N	주의	TENCENT	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Tencent Holdings Limited, an investment holding company, provides value-added services, marketing services, fintech, and business services in Mainland China and internationally. The company's consumers business includes communications and social services, such as instant messaging and social networks; digital content, including online games, videos, live streaming, news, music, and literature; fintech services, which include mobile payment, wealth management, consumer loans, and securities tradi	4180469612544.0	1.16	27.8	15.854343468694765	6.10101407396777		712465000000.0	334573000000.0	53160000000.0	387733000000.0	1154152000000.0	41.816556661752635	21.043833679787245	4.549034457876398	15.136095303660538	6.10101407396777	2.4809146676524283	0.47971513975680075	매우 불리	불리(<1)	20.70202814793554	575.5163825126081	24.4090736963426	보류	충분
9988.HK	9988.HK	China / Hong Kong	132.8000030517578	-16.739809998897925	-16.477985502039118		-28.25499801578044	129.3324993133545	144.51950012207033	Y	N	주의	BABA-W	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to help merchants, brands, retailers, and other businesses to engage with their users and customers in the People's Republic of China and internationally. It operates digital retail platforms under the Taobao and Tmall names; wholesale marketplaces through 1688.com and Alibaba.com; global e-commerce platform under the AliExpress name; e-commerce platforms under the Lazada, Trendyol, an	2548751400960.0	77.0	5.57	62.617955480008504	27.857140301211246		710699000000.0	208141000000.0	22562000000.0	248110000000.0	1009858000000.0	26.18525543229398	4.03998374407288	3.0421563638807494	19.14088826202223	27.857140301211246	0.6871088724491211	5.478175247972171	헐값	안심(>=2)	60.0	334.20000000000005	151.6566207229288	양호	충분
3690.HK	3690.HK	China / Hong Kong	87.5999984741211	-4.937604966267973	-12.312315179065859		-40.97034900471357	83.59874973297119	98.34075019836426	Y	N	주의	MEITUAN-W	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	Meituan operates as a technology driven retail company in the People's Republic of China, Hong Kong, Macao, Taiwan, and internationally. It operates through Core Local Commerce and New Initiatives segments. The company offers daily goods and services, such as food delivery, in-store, hotel and travel booking, and other services and sales; bike sharing, e-moped sharing, power banks and micro-credit; and operates Kuailv and Xiaoxiang Supermarkets. It also sells goods from B2B food distribution ser	540875948032.0		-4.51				226896042000.0	65904021000.0	14379078000.0	86619106000.0	151045913000.0	28.773081962634354	-4.8408568339735485	-5.526092372482907					판정불가	판정불가				보류	일부부족
9618.HK	9618.HK	China / Hong Kong	128.1999969482422	18.813711895541086	3.8897855453888797		-10.224093691527347	115.47499980926514	118.88525039672851	Y	Y	상승전환/양호	JD-SW	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	JD.com, Inc. operates as a supply chain-based technology and service provider in the People's Republic of China and Europe. It operates through three segments: JD Retail, JD Logistics, and New Businesses. The company provides home appliances; mobile handsets and other digital products; computers, including desktop, laptop, and other various products, as well as printers and other office equipment; furniture and household goods; apparel; cosmetics and other personal care items; and pet products. 	350196400128.0	3.31	5.33	-52.53511932106676	23.66544269567723		288976000000.0	62473000000.0	11525000000.0	107105000000.0	225040000000.0	93.98950734042998	1.9947089521350574	1.5559352571126623	6.418478350433809	23.66544269567723	0.27121733715153445	4.202778481577962	매우 유망	안심(>=2)	55.83088539135446	297.57861913591927	132.12061327588006	매우 유망	충분
9999.HK	9999.HK	China / Hong Kong	186.10000610351562	-3.022401238896033	-14.16051499819998		-24.472398249450244	179.12750053405762	206.6460001373291	Y	N	주의	NTES-S	HKG	HKD	Communication Services	Electronic Gaming & Multimedia	Electronic Gaming & Multimedia	NetEase, Inc. engages in online games, music streaming, online intelligent learning services, and internet content services businesses in China and internationally. The company operates through Games and Related Value-Added Services; Youdao; NetEase Cloud Music; and Innovative Businesses and Others segments. It develops and operates mobile and PC games; and offers games licensed from other developers. The company also provides live streaming service, and other related or ancillary value-added se	593778245632.0	2.5	12.06	13.67851196370724	18.404094603117294		278053666000.0	427997000.0	6384417000.0	6729742000.0	160296119000.0	87.01251887753399	15.25942349294914	8.19958247849884	8.21620955439317	18.404094603117294	0.44643378180644133	2.5442504192142916	매우 유망	안심(>=2)	45.30818920623459	546.4167618271891	193.61458565630144	매우 유망	충분
1810.HK	1810.HK	China / Hong Kong	31.799999237060547	-6.360423750422639	-26.761859562204172		-47.13217218560014	31.972500038146972	42.31675000190735	N	N	주의	XIAOMI-W	HKG	HKD	Technology	Consumer Electronics	Consumer Electronics	Xiaomi Corporation, an investment holding company, engages in the development and sales of smartphones in Mainland China and internationally. It operates through Smartphones, IoT and Lifestyle Products, Internet Services, and smart electric vehicles segments. The company also offers internet of things (IoT) and lifestyle products comprising smart large home appliances, smart TVs, tablets, wearables and other IoT and lifestyle products; hardware repairment services for products; installation serv	821219557376.0		1.8	76.02150314018954	156.2794016865734		188478801000.0	22921433000.0	13202226000.0	41837896000.0	266218661000.0	7.752099426521218	1.0007850693127152	3.1471229349791123	13.359944339188514	156.2794016865734	0.08548755750922689	11.69760874138985	매우 유망	안심(>=2)	60.0	108.0	239.62264965759493	매우 유망	충분
9888.HK	9888.HK	China / Hong Kong	137.5	0.2186611213052636	12.797373485519836		-14.330218068535828	119.69500007629395	119.17874992370605	Y	Y	상승전환/양호	BIDU-SW	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Baidu, Inc. provides internet content, value-added telecommunication-based, internet map, and online audio and video services in the People's Republic of China. It operates in two segments, Baidu General Business and iQIYI. The Baidu General Business segment offers products and services for mobile ecosystem, AI cloud, and intelligent driving. This segment operates Baidu App that enables users to access search, feed, content, and other services through mobile devices; and Haokan, which offers a r	374277931008.0		1.69	-76.47727272727273	-9.574707672764294		205928000000.0	61102000000.0	28410000000.0	97077000000.0	266330000000.0	65.88987137071996	-7.474974014478953	-5.436344737802875	42.37285717708878	-9.574707672764294		-0.2259632300165349	판정불가	불리(<1)	0.0	0.0	-100.0	보류	일부부족
1024.HK	1024.HK	China / Hong Kong	51.599998474121094	-29.460017227933864	-27.781664551364894		-43.82144874105851	48.31274995803833	67.68804973602295	Y	N	주의	KUAISHOU-W	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Kuaishou Technology, an investment holding company, provides live streaming, online marketing, and other services in the People's Republic of China. It offers Kuaishou Flagship, a short video and content based social networking platform; Kuaishou Express; Kuaishou Concept; Yitian Camera, an app to create features Japanese-and-Korean-style filters and cute stickers; Kmovie, a shooting, editing, and production tool; and AcFun, a video sharing website. The company also provides entertainment, e-com	223845728256.0	1.31	4.87	21.402021519400073			113106000000.0	11098000000.0	13916000000.0	34953000000.0	79558000000.0	27.930616660567658	3.2238165689114933	6.247706713651032	4.860242672187564	21.402021519400073	0.22709269158438838	4.673022120761212	매우 유망	안심(>=2)	8.5	41.395	-19.77712941065143	양호	충분
1211.HK	1211.HK	China / Hong Kong	98.1500015258789	9.055557250976554	1.0813625831700202		-36.704641764991884	104.4900001525879	103.77625007629395	N	N	중립	BYD COMPANY	HKG	HKD	Consumer Cyclical	Auto Manufacturers	Auto Manufacturers	BYD Company Limited, together with its subsidiaries, engages in automobiles and batteries business in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally. It operates in two segments, Mobile Handset Components, Assembly Service and Other Products; and Automobiles and Related Products and Other Products. The Mobile Handset Components, Assembly Service and Other Products segment manufactures and sells mobile handset components, such as housings and electronic components, 	894852923392.0	41.0	2.25	-18.967701027859206	25.196441286638958		184489829000.0	65703479000.0	38484710000.0	119120640000.0	246274606000.0	32.249104088613784	-26.516889015583427	-27.016697507225	29.289287749895607	25.196441286638958	1.1624374814163532	2.2600905099467603	보통	안심(>=2)	58.892882573277916	132.5089857898753	35.00660593972287	보류	충분
2318.HK	2318.HK	China / Hong Kong	64.0999984741211	-11.034010049834075	12.852111505483066		-12.7297465794447	61.92000017166138	60.86425022125244	Y	Y	상승전환/양호	PING AN	HKG	HKD	Financial Services	Insurance - Life	Insurance - Life	Ping An Insurance (Group) Company of China, Ltd. provides financial products and services in the People's Republic of China. It operates through Life and Health Insurance; Property and Casualty Insurance; Banking; Asset Management; and Finance Enablement segments. The company offers life insurance products, including term, whole-life, endowment, annuity, investment-linked, universal life, and health care and medical insurance; property and casualty insurance, such as auto insurance, non-auto ins	1160699838464.0	4.66	8.35	6.453829567085556	6.681286200386016		1018674000000.0	1345587000000.0	84520000000.0	1438514000000.0	1000419000000.0	-43.89521637208706	87.31390191516293	136.21513883563338	12.933558664216546	6.681286200386016	1.935788750296208	0.8768882946164003	보통	불리(<1)	21.86257240077203	182.55247954644645	184.79326660225715	보류	충분
