티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
TSM	TSM	Global Semicon / PCB / Memory / OSAT	411.68499755859375	6.723265731326955	48.35495407516892		-1.8629326439585814	383.8198745727539	318.68757484436037	Y	Y	상승전환/양호	Taiwan Semiconductor Manufactur	NYQ	USD	Technology	Semiconductors	Semiconductors	Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides various wafer fabrication processes, such as processes to manufacture complementary metal- oxide-semiconductor (CMOS) logic, mixed-signal, radio frequency, embedded memory, bipolar CMOS mixed-signal, and others. T	2135193550848.0	94.0	11.65	46.54981153856048	19.574951863097922		3488279800000.0	896062000000.0	136925700000.0	1064582700000.0	5355038700000.0	499.80348759148404	191.33970352740297	46.47721064942869	-7.5638188869433725	19.574951863097922	-0.38640293676545096		판정불가	판정불가	47.649903726195845	555.1213784101816	34.84129412104045	보류	충분
ASML	ASML	Global Semicon / PCB / Memory / OSAT	1619.3399658203125	8.114562226598942	65.06360618213031		-0.8304279742181842	1461.904248046875	1182.0321481323242	Y	Y	상승전환/양호	ASML Holding N.V. - New York Re	NMS	USD	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	ASML Holding N.V. provides lithography solutions for the development, production, marketing, sales, upgrading, and servicing of advanced semiconductor equipment systems. The company offers lithography, metrology, and inspection systems. It also provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography systems solutions to manufacture various range of semiconductor nodes and technologies. In addition, the company offers met	624122200064.0	54.0	30.05	26.913730255164037	19.548786436855625		13727800000.0	2709000000.0	1681900000.0	4390900000.0	19612200000.0	28.589244865047895	28.611298861976138	1.7668494242024373	52.93679603844474	19.548786436855625	2.7079325977310895	1.3893698134553074	매우 불리	보통(1~1.5)	47.59757287371125	1430.307064855023	-11.673453688245793	보류	충분
ARM	ARM	Global Semicon / PCB / Memory / OSAT	320.4700012207031	150.09364971683596	141.8094047932378		0.0	198.49537620544433	147.99142543792723	Y	Y	상승전환/양호	Arm Holdings plc	NMS	USD	Technology	Semiconductors	Semiconductors	Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers arm central processing units, accelerators, system IP product	341117960192.0		0.86	158.82352941176472	12.992845523476216		3565000000.0	0.0	40000000.0	356000000.0	6839000000.0	3.3505684160370333	0.14849644031805084	0.04633707983661892	368.74352651705357	12.992845523476216	28.38050570606621	0.03523545388362316	매우 불리	불리(<1)	34.48569104695243	29.65769430037909	-90.74556302074768	보류	충분
NVDA	NVDA	Global Semicon / PCB / Memory / OSAT	213.24000549316406	10.572983533484436	18.04694763821162		-9.544413114324989	202.70725059509277	187.19475036621094	Y	Y	상승전환/양호	NVIDIA Corporation	NMS	USD	Technology	Semiconductors	Semiconductors	NVIDIA Corporation operates as a data center scale AI infrastructure company. The company operates through two segments, Compute & Networking, and Graphics segments. The Compute & Networking segment provides data center accelerated computing and networking platforms and artificial intelligence solutions and software, and automotive platforms and autonomous and electric vehicle solutions, including software. The Graphics segment offers GeForce GPUs for gaming and PCs; Quadro/NVIDIA RTX GPUs for e	5164885868544.0	2.0	6.52	64.74615806805708	201.79613706779188		114507000000.0	7469000000.0	999000000.0	11040000000.0	157293000000.0	4.419222988315925	3.991412410717972	1.8717934289520202	32.02772737804419	201.79613706779188	0.15871328283794015	6.363115767230466	매우 유망	안심(>=2)	60.0	391.2	83.4552569510888	매우 유망	충분
AMD	AMD	Global Semicon / PCB / Memory / OSAT	495.6099853515625	131.76673860789094	140.56401081135766		0.0	335.7157497406006	232.4923998260498	Y	Y	상승전환/양호	Advanced Micro Devices, Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Advanced Micro Devices, Inc. operates as a semiconductor company internationally. It operates in three segments: Data Center, Client and Gaming, and Embedded. The company offers artificial intelligence (AI) accelerators, microprocessors, and graphics processing units (GPUs) as standalone devices or as incorporated into accelerated processing units, chipsets, and data center and professional GPUs; and embedded processors and semi-custom system-on-chip (SoC) products, microprocessor and SoC develo	808141914112.0		2.99	164.16819012797075	48.64092188805236		15565000000.0	2348000000.0	874000000.0	3847000000.0	62999000000.0	8.105602122237363	4.130379836064813	0.8333931837823879	163.04494422385454	48.64092188805236	3.3520118018960323	0.29832830523877035	매우 불리	불리(<1)	60.0	179.4	-63.802182098340474	보류	충분
AVGO	AVGO	Global Semicon / PCB / Memory / OSAT	422.57940673828125	29.828695018853036	21.84401067244086		-3.91336807845708	394.75598602294923	350.4390476989746	Y	Y	상승전환/양호	Broadcom Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Broadcom Inc. designs, develops, and supplies various semiconductor devices and infrastructure software solutions internationally. The company operates in two segments: Semiconductor Solutions and Infrastructure Software. The company offers networking connectivity, such as custom silicon solutions, ethernet switching & routing, ethernet NIC controllers, physical layer devices, and fiber optic components; wireless device connectivity, including RF semiconductor devices, connectivity solutions, cu	2000773316608.0	63.0	5.14	292.2985581000848	26.2400569832006		16178000000.0	61984000000.0	3152000000.0	65136000000.0	81292000000.0	-9.674595604142553	5.6844532613607965	1.3451799048223343	84.09610940514082	26.2400569832006	3.204875258425727	1.0611674858022069	매우 불리	보통(1~1.5)	60.0	308.4	-27.019633450571035	보류	충분
MU	MU	Global Semicon / PCB / Memory / OSAT	886.1400146484375	111.99014232823981	340.0556369546254		0.0	557.0862525939941	326.42710041046143	Y	Y	상승전환/양호	Micron Technology, Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Japan, Mainland China, Hong Kong, Europe, and internationally. It operates through the Cloud Memory Business Unit; Core Data Center Business Unit; Mobile and Client Business Unit; and Automotive and Embedded Business Unit segments. The company provides memory products, including dynamic random access memory components and modules, CXL-based memory, LPDDR components and mod	999443005440.0	8.0	21.18	997.5578406169666	-0.5711543545194875		10972000000.0	11533000000.0	106000000.0	15278000000.0	54165000000.0	-0.4974577113305591	1.4790721256673307	0.1669117860854224	41.8620147478644	-0.5711543545194875		0.17746029879891284	판정불가	불리(<1)	7.357691290961025	155.8359015425545	-82.41407689908011	보류	일부부족
MRVL	MRVL	Global Semicon / PCB / Memory / OSAT	205.1199951171875	161.6660246386914	167.50129668862587		0.0	151.78199996948243	96.55325004577637	Y	Y	상승전환/양호	Marvell Technology, Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Marvell Technology, Inc., together with its subsidiaries, provides data infrastructure semiconductor solutions and spanning the data center core to network edge in the United States, Argentina, China, India, Israel, Japan, Singapore, South Korea, Taiwan, Vietnam, and internationally. The company develops and scales system-on-a-chip architectures, integrating analog, mixed-signal, and digital signal processing functionality. It offers a portfolio of ethernet solutions, including spanning controll	179593461760.0	12.0	3.06	97.89999999999999			2638800000.0	3970800000.0	499800000.0	4790300000.0	14308400000.0	-1.5213239367702	1.5897378285213524	0.775028210981146	67.52984282809075	97.89999999999999	0.6897838899702835	1.627428635955366	헐값	양호(>=1.5)	8.5	26.01	-87.31961748285916	양호	충분
AMAT	AMAT	Global Semicon / PCB / Memory / OSAT	449.8299865722656	19.02468586507924	104.25464073875736		0.0	400.3574989318848	288.5781999206543	Y	Y	상승전환/양호	Applied Materials, Inc.	NMS	USD	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Applied Materials, Inc. provides materials engineering solutions, equipment, services, and software to the semiconductor and related industries in the United States, China, Korea, Taiwan, Japan, Southeast Asia, Europe, and internationally. The company operates through Semiconductor Systems and Applied Global Services (AGS) segments. The Semiconductor Systems segment includes semiconductor capital equipment to enable materials engineering steps, including etch, rapid thermal processing, depositio	357146755072.0	49.0	10.63	-2.4940783056987548	2.3602035200739557		9905000000.0	6455000000.0	100000000.0	7050000000.0	20415000000.0	4.345310187952551	7.176689116218444	1.5954225664023183	41.908248013576014	2.3602035200739557	17.756200961967398	1.225539266242674	매우 불리	보통(1~1.5)	13.220407040147911	140.5329268367723	-68.75865748576643	보류	충분
LRCX	LRCX	Global Semicon / PCB / Memory / OSAT	317.1000061035156	29.826000451797597	127.16528005054562		0.0	265.8419986724854	189.6143992614746	Y	Y	상승전환/양호	Lam Research Corporation	NMS	USD	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Lam Research Corporation designs, manufactures, markets, refurbishes, and services semiconductor processing equipment used in the fabrication of integrated circuits in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company offers ALTUS systems to deposit conformal or selective films for tungsten or molybdenum metallization applications; SABRE electrochemical deposition products for copper interconnect transition that offers copper damascene manufacturing; SPEED g	396556075008.0	34.0	5.28	39.98265831925203	5.177109335177765		6428300000.0	3719694000.0	749670000.0	4484505000.0	9861619000.0	2.1658954189726134	4.329284782711258	1.3652742665977704	59.64661187207253	5.177109335177765	11.521219277093838	0.6568203642346548	매우 불리	불리(<1)	18.85421867035553	99.55027457947719	-68.606031957319	보류	충분
