티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
RELIANCE.NS	RELIANCE.NS	India Nifty 50	1295.5	-5.091575091575096	-12.655067243197616		-18.639706068373172	1310.507501220703	1414.7095037841798	N	N	주의	RELIANCE INDUSTRIES LTD	NSI	INR	Energy	Oil & Gas Refining & Marketing	Oil & Gas Refining & Marketing	Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, advanced materials and composites, renewable, financial services, retail, and digital services worldwide. It operates through the Oil to Chemicals, Oil and Gas, Retail, Digital Services, and Others segments. The company is involved in refining and marketing products, including liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosine oi	17531318304768.0	46.0	59.74	15.976050999310809	6.58907750634663		4170970000000.0	2707510000000.0	1036700000000.0	3980000000000.0	9040300000000.0	108.1443162370115	51.134040224211695	3.9470505769364492	19.87538807771993	6.58907750634663	3.0164143703843007	2.645939656660005	매우 불리	안심(>=2)	21.67815501269326	1295.0529804582955	-0.03450556091891821	보류	충분
TCS.NS	TCS.NS	India Nifty 50	2189.199951171875	-15.19659302065175	-32.42375956354325		-34.15741780290319	2170.202487182617	2723.3624908447264	Y	N	주의	TATA CONSULTANCY SERV LT	NSI	INR	Technology	Information Technology Services	Information Technology Services	Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cl	7920716611584.0	2.95	137.54	1.3531604638230332	5.300128040832486		763410000000.0	0.0	18300000000.0	112830000000.0	1072400000000.0	210.99821278563113	132.52305192027143	6.053492365982014	14.382737664579352	5.300128040832486	2.7136585293362594	0.5736131905645638	매우 불리	불리(<1)	19.100256081664973	2627.0492214722003	20.000423902163234	보류	충분
HDFCBANK.NS	HDFCBANK.NS	India Nifty 50	815.4500122070312	1.9439914137219017	-12.967607494214217		-19.49353415419761	781.5000030517579	884.5397500610352	Y	N	상승전환/양호	HDFC BANK LTD	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	HDFC Bank Limited provides banking and financial products and services to individuals and businesses in India, Bahrain, Hong Kong, Singapore, and Dubai. The company operates through Treasury, Retail Banking, Wholesale Banking, Other Banking Business, Insurance Business, and Other segments. It offers savings, salary, current, rural, public provident fund, pension, and demat accounts; fixed and recurring deposits; and safe deposit lockers, as well as offshore accounts and deposits, and overdrafts 	12558914289664.0	1.61	44.84	8.166893276325982	20.388517319859577		9196249400000.0	5866163200000.0	1306013100000.0	7326106100000.0	7676891400000.0	216.22241466329902	73.3202331844539	8.991382928060945	13.36368415574782	20.388517319859577	0.6554514948828981	1.6461416674830536	헐값	양호(>=1.5)	49.277034639719155	2209.582233245007	170.9647679401868	양호	충분
ICICIBANK.NS	ICICIBANK.NS	India Nifty 50	1416.199951171875	5.152947715151646	0.21937411644579186		-4.863631976452554	1332.4124969482423	1344.079503173828	Y	Y	상승전환/양호	ICICI BANK LTD.	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	ICICI Bank Limited, together with its subsidiaries, engages in the provision of various banking and financial services to retail and corporate customers in India and internationally. The company operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life Insurance, General Insurance, and Others segments. It offers savings, salary, pension, current, trade, escrow, foreign currency, and vostro accounts, as well as time, fixed, recurring, and security deposits. The company als	10158660911104.0	85.0	74.75	6.22878665548352	16.78079563417647		2649807200000.0	2202642800000.0	226221340000.0	2202642800000.0	3630604100000.0	62.338356142632456	88.65719053216873	6.260217030710022	18.11186080306679	16.78079563417647	1.0793207424670268	5.619565915443787	보통	안심(>=2)	42.06159126835294	3144.1039473093824	122.00988954333067	보류	충분
INFY.NS	INFY.NS	India Nifty 50	1076.300048828125	-18.381732867157464	-32.55842895150713		-36.30607067537143	1113.6175033569336	1373.019503479004	N	N	주의	INFOSYS LIMITED	NSI	INR	Technology	Information Technology Services	Information Technology Services	Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also pr	4357861408768.0	4.57	75.52	4.9081697276757374	3.582523363792678		5163000000.0	0.0	333000000.0	967000000.0	9786000000.0	1.275152362128282	0.9219724516414638	0.08566128494050586	14.234969497695932	3.582523363792678	3.9734477774977925	0.5727109822829085	매우 불리	불리(<1)	15.665046727585356	1183.024328867246	9.915848294843265	보류	충분
BHARTIARTL.NS	BHARTIARTL.NS	India Nifty 50	1918.300048828125	3.8659387877107543	-6.149704069074124		-11.300684693284435	1862.9999969482421	1950.2940032958984	Y	N	상승전환/양호	BHARTI AIRTEL LIMITED	NSI	INR	Communication Services	Telecom Services	Telecom Services	Bharti Airtel Limited operates as a telecommunications company in India and internationally. It operates through the Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Passive Tower Infrastructure Services, Homes Services, Digital TV Services, and Others segments. The company provides voice and data telecom services through wireless technology including 2G/3G/4G/5G services; passive infrastructure service, including the setup, operation, and maintenance o	11967618088960.0	1.24	44.35	-20.44605898778463	47.33977446458364		866742000000.0	1000849000000.0	215865000000.0	1954117000000.0	1490566000000.0	-21.499956768424898	121.06585303901463	6.311100972601906	43.73844432010259	47.33977446458364	0.9239259125077725	1.1106882107888765	헐값	보통(1~1.5)	60.0	2661.0	38.71656843388942	보류	충분
SBIN.NS	SBIN.NS	India Nifty 50	1030.0999755859375	-4.642446138769962	1.472683919847606		-16.10197633001257	1008.704997253418	1016.0812475585938	Y	Y	상승전환/양호	STATE BANK OF INDIA	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	State Bank of India provides banking products and services in India and internationally. The company operates through the Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking Business segments. It offers personal banking products and services, including current, savings, salary, and deposit accounts; home, personal, pension, auto, education, and gold loans, as well as loans against insurance property, and securities; debit, business debit, prepaid, and green remit cards; over	9508458856448.0	1.71	91.18	7.397300658448813	14.39206891326348		6671134748000.0	0.0	0.0	7268922204000.0	5961308694000.0	722.7181373127248	32.21283031494877	3.12715572064989	3.371154181544337	14.39206891326348	0.23423693993276673	4.776426127708898	매우 유망	안심(>=2)	37.28413782652696	3399.5676870227285	230.02308199153188	매우 유망	충분
ITC.NS	ITC.NS	India Nifty 50	276.6499938964844	-9.827247423761253	-18.247636262927703		-34.84456195955911	287.60749969482424	339.1052502441406	N	N	주의	ITC LTD	NSI	INR	Consumer Defensive	Tobacco	Tobacco	ITC Limited engages in the fast-moving consumer goods, paperboards, paper and packaging, and agri businesses in India and internationally. The company offers cigarettes and cigars; foods, including staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy products, ready-to-eat meals, chocolates, coffee, and frozen foods; personal care products; education and stationery, such as balls, gels and roller pens, mechanical pencils, geometry boxes, erasers, sharpen	3466277421056.0	5.81	16.51	-40.45618236934057	2.5366068168754863		463380800000.0	600000000.0	21265200000.0	23993600000.0	725073000000.0	36.935390350805385	12.994502001064214	4.697091013103885	14.519358179629252	2.5366068168754863	5.723929338609027	0.5748605905036371	매우 불리	불리(<1)	13.573213633750973	224.0937570932286	-18.997375009131943	보류	충분
LT.NS	LT.NS	India Nifty 50	3783.89990234375	-7.6218888178816275	-5.8497162890333465		-14.354590916781984	4033.162493896484	3962.897998046875	N	N	주의	LARSEN & TOUBRO LTD.	NSI	INR	Industrials	Engineering & Construction	Engineering & Construction	Larsen & Toubro Limited engages in engineering, procurement, and construction projects (EPC) in India and internationally. The company operates through four segments: Infrastructure Projects, Energy Projects, Hi-Tech Manufacturing, and Others. The Infrastructure Projects segment is involved in the engineering and construction of building and factories, transportation infrastructure, heavy civil infrastructure, power transmission & distribution, renewables, water and effluent treatment, and miner	5205621473280.0	99.0	117.0	6.96197607119986	15.382271021915606		1378585600000.0	637385900000.0	579444300000.0	1254970400000.0	1092898000000.0	538.7686122042837	86.73058760988204	2.2920951887802596	27.73616487298689	15.382271021915606	1.8031254834523656	4.123939684729667	보통	안심(>=2)	39.26454204383121	4593.9514191282515	21.407847397938706	보류	충분
HINDUNILVR.NS	HINDUNILVR.NS	India Nifty 50	2102.60009765625	-6.167437886488337	-12.617399205239154		-21.911905912562368	2160.1400146484375	2305.4805029296876	N	N	주의	HINDUSTAN UNILEVER LTD.	NSI	INR	Consumer Defensive	Household & Personal Products	Household & Personal Products	Hindustan Unilever Limited, a fast-moving consumer goods company, manufactures and sells food, home care, and personal care products in India and internationally. It operates through Home Care, Beauty & Wellbeing, Personal Care, Foods, and Others segments. The company offers detergent bars, detergent powders, detergent liquids, and scourers; skin care and hair care products; skin cleansing, oral care, bodywash, and deodorants; and culinary products, such as tomato based products, fruit based pro	4940251004928.0	2.08	45.16	41.233918677810124	14.118426432640984		142350000000.0	0.0	0.0	14780000000.0	487380000000.0	60.58500569959985	41.01990059239503	1.9509130927045784	45.21734038876551	14.118426432640984	3.202718136082477	0.35823483410062684	매우 불리	불리(<1)	36.73685286528197	1659.0362753961335	-21.09596697700876	보류	충분
