티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
7203.T	7203.T	Japan Nikkei 225	3025.0	8.950117053844764	-10.476472329091447		-23.301217038539555	3039.7125	3185.36	N	N	주의	TOYOTA MOTOR CORP	JPX	JPY	Consumer Cyclical	Auto Manufacturers	Auto Manufacturers	Toyota Motor Corporation designs, manufactures, assembles, and sells passenger vehicles, minivans and commercial vehicles, and related parts and accessories in Japan, North America, Europe, Asia, Central and South America, Oceania, Africa, the Middle East, and internationally. The company operates through Automotive, Financial Services, and All Other segments. The company offers subcompact and compact cars; mini-vehicles; mid-size, luxury, sports, and specialty cars; recreational and sport-utili	35821549780992.0	3.31	351.51	-19.24389192556021	16.22034398017016		20624512000000.0	25076787000000.0	17417669000000.0	43205469000000.0	39918854000000.0	-375.97851209810017	15.164205574561331	0.5012960520516143	9.675339285078946	16.22034398017016	0.5964940877275678	2.018569417021824	헐값	안심(>=2)	40.94068796034032	14391.061224939225	375.73756115501567	양호	충분
6758.T	6758.T	Japan Nikkei 225	3697.0	17.738853503184714	11.121130147279823		-21.340425531914896	3752.775	3595.38	N	Y	상승전환/양호	SONY GROUP CORPORATION	JPX	JPY	Technology	Consumer Electronics	Consumer Electronics	Sony Group Corporation develops, designs, produces, manufactures, supplies, and sells electronic equipment, instruments, and devices for consumer, professional, and industrial use in Japan, the United States, Europe, China, the Asia-Pacific, and internationally. The company operates through Game & Network Services, Music, Pictures, Entertainment Technology & Services, and Imaging & Sensing Solutions. It develops, designs, produces, manufactures, provides, and sells smartphones and image sensors;	21610195058688.0	95.0	186.33	44.4			2265213000000.0	824393000000.0	217593000000.0	1669669000000.0	8119011000000.0	246.4906572700851	254.55110465972248	6.885342295367121	18.518270502495113	44.4	0.4170781644706107	7.5277008174827955	매우 유망	안심(>=2)	8.5	1583.805	-57.15972410062212	양호	충분
9984.T	9984.T	Japan Nikkei 225	6315.0	-11.193924905076646	78.18848758465012		-26.841983317886932	5590.925	5133.80625	Y	Y	상승전환/양호	SOFTBANK GROUP CORP	JPX	JPY	Communication Services	Telecom Services	Telecom Services	SoftBank Group Corp. provides telecommunication services in Japan and internationally. It operates through Holding Company Investment Business, SoftBank Vision Funds, SoftBank, AI Computing Business, and Other segments. The company engages in Consumer Business, mobile services and broadband; mobile services and solutions; ICT service materials to corporate clients; media, advertising, and related services; and payment and financial services. It also offers semiconductor IP, chips, and related te	35988701184000.0	17.0	872.73	333.7234204895035			9633366000000.0	17433486000000.0	7251630000000.0	25663566000000.0	17621823000000.0	-1368.70054930395	-379.4860421838099	-6.009280161263815	8.804212699579423	333.7234204895035	0.026381764536230205	39.835864086547744	매우 유망	안심(>=2)	8.5	7418.205	17.46959619952495	보류	충분
6861.T	6861.T	Japan Nikkei 225	76580.0	-1.4414414414414378	28.684254747101324		-12.639744467259872	80196.0	68241.45	N	Y	상승전환/양호	KEYENCE CORP	JPX	JPY	Technology	Scientific & Technical Instruments	Scientific & Technical Instruments	Keyence Corporation, together with its subsidiaries, manufactures and sells electronic application equipment in Japan and internationally. The company offers photoelectric, fiber optic, laser, inductive proximity, positioning, vision, and specific solution sensors, as well as network communication units; laser profiler/3D laser snapshot sensor, laser displacement sensors, optical micrometer/laser micrometer, spectral interference displacement sensor, inductive displacement sensors, and LVDT/cont	18572575244288.0	72.0	1837.92	11.671466126183972	7.043275268619209		2390802000000.0	0.0	0.0	0.0	3471471000000.0	9857.955506929393	1658.8342414124036	2.1661455228681166	36.303018898031794	7.043275268619209	5.154280858477477	2.1773196188073665	매우 불리	안심(>=2)	22.586550537238416	41512.27296340123	-45.7922787106278	보류	충분
8035.T	8035.T	Japan Nikkei 225	53110.0	-29.52494692144374	36.952037132542536		-32.601522842639596	55170.25	49137.05	N	Y	상승전환/양호	TOKYO ELECTRON	JPX	JPY	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Tokyo Electron Limited, together with its subsidiaries, develops, manufactures, and sells semiconductor production equipment in Japan, South Korea, Taiwan, China, North America, Europe, and internationally. The company provides coaters/developers, plasma etch systems, cleaning systems, deposition systems, test systems, 3D integration systems, SiC Epitaxial CVD systems, and gas cluster beam systems, as well as other deposition and lithography and other products. It also offers engineering service	24127706497024.0	1.41	1253.4	5.572350877450916	6.798560410225418		561248000000.0	0.0	0.0	0.0	2069994000000.0	1235.4212726490891	705.0257904492299	1.327482188757729	41.38709009681738	6.798560410225418	6.087625555929291	0.1983362539145183	매우 불리	불리(<1)	22.097120820450836	27696.53123635308	-47.85062843842388	보류	충분
6954.T	6954.T	Japan Nikkei 225	5852.0	-21.69142245416834	-2.984084880636606		-30.564784053156146	6168.45	6524.12	N	N	주의	FANUC CORPORATION	JPX	JPY	Industrials	Specialty Industrial Machinery	Specialty Industrial Machinery	Fanuc Corporation engages in the development, manufacture, sale, and maintenance services of products used in automated production systems in Japan, the United States, Europe, China, the rest of Asia, and internationally. It offers CNC series, robots, and robomachine products, such as, compact machining centers, electric injection molding machines, wire electrical discharge machines; and field system basic package, and AI servo monitors, as well as servo motors, lasers. The company was incorpora	5437682876416.0	1.83	178.49	12.866892116266925	-0.7965405408966175		789671000000.0	0.0	0.0	0.0	1864871000000.0	849.8389171637367	247.21782470961674	4.224501447532753	28.024881409805946	-0.7965405408966175		0.03687649713806723	판정불가	불리(<1)	6.906918918206765	1232.8159577107256	-78.93342519291309	보류	일부부족
6857.T	6857.T	Japan Nikkei 225	32050.0	0.9766855702583399	36.12231896368656		-15.166754896770772	32794.5	26879.05	N	Y	상승전환/양호	ADVANTEST CORP	JPX	JPY	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Advantest Corporation, together with its subsidiaries, manufactures and sells semiconductors, component test systems, and mechatronics-related products in Japan, rest of Asia, the Americas, and Europe. The company offers automated test equipment, including system on chip, power device, and memory test systems, as well as burn-in and SSD test systems; and metrology and SEM tools. It also provides component test systems, such as die level, SoC, and memory test handlers, as well as change kits, and	23138593144832.0	19.0	516.01	132.8824832327193	42.25059773479647		339966000000.0	0.0	0.0	20192000000.0	795726000000.0	470.8977232808561	414.3649533039029	1.292870369122942	61.198624593940316	42.25059773479647	1.4484676637731624	1.000849253413798	보통	보통(1~1.5)	60.0	30960.6	-3.3990639625585017	보류	충분
6594.T	6594.T	Japan Nikkei 225	2856.0	5.974025974025965	27.27272727272727		-1.4832700931355691	2657.575	2426.925	Y	Y	상승전환/양호	NIDEC CORPORATION	JPX	JPY	Industrials	Specialty Industrial Machinery	Specialty Industrial Machinery	Nidec Corporation, together with its subsidiaries, develops, manufactures, and sells motors, electronics and optical components, and other related products in Japan and internationally. The company offers medium- and large-size motors, small-size and precision motors, fans and blowers, motor-related products, units and modules, automotive components, mechanical equipment/machine tools, inspection and measuring equipment, electronic devices, as well as mold, molding, cutting, and machining compon	3273861103616.0	1.92	104.82	32.067815676348886	6.581109751515668		248811000000.0	0.0	257559000000.0	636046000000.0	1719296000000.0	217.05388229526966	118.29175311926029	4.141868106416677	25.175978989741754	6.581109751515668	3.8254914353834595	0.33766749467734875	매우 불리	불리(<1)	21.662219503031338	2270.6338483077448	-20.496013714714824	보류	충분
9432.T	9432.T	Japan Nikkei 225	177.3000030517578	22.78394082125681	12.714557922430059		-1.4999983045789977	165.4199996948242	155.4000001525879	Y	Y	상승전환/양호	NTT INC	JPX	JPY	Communication Services	Telecom Services	Telecom Services	NTT, Inc. operates as a telecommunications company in Japan and internationally. The company operates through the Comprehensive ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. Its Comprehensive ICT Business segment offers mobile phone and fiber-optic broadband services; financial, content, and lifestyle services; and corporate communication services and solutions. This segment also engages in engineering, system development, and related businesses.	14366254563328.0	3.05	12.61	3.7015407753475893	-5.093357650896701		4814410000000.0	11315960000000.0	4395648000000.0	16919540000000.0	9727623000000.0	-80.23837213198735	-9.50958398217745	-5.363555453183715	20.423344582374718	-5.093357650896701		-0.10005009917230269	판정불가	불리(<1)	0.0	0.0	-100.0	보류	일부부족
9433.T	9433.T	Japan Nikkei 225	3060.0	12.437993753444786	14.99436302142052		-1.576069475715669	2946.725	2738.03	Y	Y	상승전환/양호	KDDI CORPORATION	JPX	JPY	Communication Services	Telecom Services	Telecom Services	KDDI Corporation engages in the provision of mobile telecommunications services in Japan and internationally. It operates in two segments, Personal Services and Business Services. The Personal Services segment offers 5G telecommunication services and other services, such as finance, energy, and LX through its multi-brands comprising au, UQ mobile, and povo; and entertainment services, including video to individual customers. The Business Services segment provides smartphones and other devices, n	11309646086144.0	2.75	183.6	7.8875096122157595	2.7737376722015927		2887775000000.0	2588058000000.0	2710284000000.0	5805637000000.0	5076738000000.0	81.09307968107844	300.2863074326977	9.813278020676396	16.224983226137915	2.7737376722015927	5.849501699005189	0.3404464334547374	매우 불리	불리(<1)	14.047475344403185	2579.1164732324246	-15.715147933580898	보류	충분
9434.T	9434.T	Japan Nikkei 225	248.10000610351562	17.806267290214485	15.020866765727359		-1.3910969455859235	236.13750038146972	219.7600003051758	Y	Y	상승전환/양호	SOFTBANK CORP.	JPX	JPY	Communication Services	Telecom Services	Telecom Services	SoftBank Corp., together with its subsidiaries, provides mobile communications and fixed-line telecommunications and ISP services in Japan. It operates through Consumer, Enterprise, Distribution, Media/E-commerce, Financial, and others segments. The Consumer segment offers mobile services to individual customers; sells mobile devices; broadband, and supplies electric power. The Enterprise segment provides mobile services to enterprise customers; data centers, cloud services, security, global ser	11867546189824.0	3.55	11.26	4.6805655604191365	1.2020430786591874		2419495000000.0	4528164000000.0	1956418000000.0	6484582000000.0	2957859000000.0	-44.08331632091503	12.986947342129518	5.234561476274583	25.948785295242512	1.2020430786591874	21.58723406501117	0.18313161963425062	매우 불리	불리(<1)	10.904086157318375	122.7800101314049	-50.51188750064885	보류	충분
