티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
GEV	GE Vernova Inc.	0001996810	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1062.949951171875	17.69	2025	14.000000000000002	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	58.27540871438	58.28831209875339	217.02508960573476			442.5501792114695			7828.712670250897			636.5081170209324			1년	442.5501792114695	7828.712670250897	636.5081170209324	3.9643666977616094					1년	3.9643666977616094	안심	1년	217.02508960573476	0.268519224299125	매우 유망	N	FCF<=0	276000000.0	단기위험부채 존재
ENPH	Enphase Energy, Inc.	0001463101	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	33.849998474121094	1.29	2025		474318000.0	1038536000.0	1512854000.0	572194000.0	632183000.0	1087023000.0	2422769000.0	30.971151566816495	69.02884843318351	0.448669683325154	6.973740788517711	2.2869460136708035	20.834308283413474	24.467482527480843	72.00000000000001			152.50000000000003			196.72500000000005			481.1669390484602			1년	152.50000000000003	196.72500000000005	481.1669390484602				0.7109781593345492	2.100378704235701	판정불가		판정불가	1년	72.00000000000001	0.2893653928251871	매우 유망	Y		134886000.0	단기위험부채 존재
MELI	MERCADOLIBRE INC	0001099590	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1850.050048828125	39.4	2025	0.03243155504793274	3670000000.0	2629000000.0	6299000000.0	9193000000.0		6748000000.0	35919000000.0	15.81550144139499	84.18449855860501	0.18786714552186864	-57.08388530202385	-57.08388530202385	48.40441457183119	48.40441457183119	4.537012470151236	129.72289831422012		17.574024940302472	267.94579662844023		692.4165826479174	10557.064387160544		-62.57308913958766	470.6366913612793		3년	267.94579662844023	10557.064387160544	470.63669136127925	0.0944013901545737	2.680650742644841		228.947013372699	12.37517944542747	3년	2.680650742644841	안심	3년	129.72289831422012	0.3731370112821873	매우 유망	N	주당순현금<=0	50697320.0	
FSLR	FIRST SOLAR, INC.	0001274494	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	211.7100067138672	14.21	2025		2803514000.0	509032000.0	3312546000.0	282593000.0	0.0	9537993000.0	3783317000.0	71.59951236027088	28.40048763972913	2.5210663024007767	28.17591154672345	28.17591154672345	12.915840616970002	12.915840616970002	18.21963394342763		30.670348455238837	44.93926788685526		69.84069691047767	638.5869966722133		992.4363030978878	201.63288291577263		368.7715609206877	5년	69.84069691047767	992.4363030978878	368.7715609206877				11.040200117168974	5.214774817937706	판정불가		판정불가	5년	30.670348455238837	0.4211181570310405	매우 유망	Y		107537000.0	
ALNY	ALNYLAM PHARMACEUTICALS, INC.	0001178670	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	296.1099853515625	2.33	2025		1657250000.0	1251234000.0	2908484000.0			789176000.0	4177155000.0	15.89052360787068	84.10947639212932	0.1889266737767691	21.594873927118293	21.594873927118293	117.81764438817349	117.81764438817349	206.8807339449541			422.2614678899082			983.8692201834862			232.26478972513127			1년	422.2614678899082	983.8692201834862	232.26478972513127				3.4553696058923107	1.166921001258993	판정불가		판정불가	1년	206.8807339449541	0.569495487286515	헐값	Y		134684000.0	
EME	EMCOR Group, Inc.	0000105634	Company Add-ons	제외	PEG=헐값, PEGY=안심	903.5	28.19	2025	14.000000000000002	1111968000.0		1111968000.0	0.0		3673944000.0	5616418000.0	39.54575720515519	60.4542427948448	0.654143619652241	24.630614870271227	24.630614870271227	31.176636577854868	31.176636577854868	30.994423791821568	51.54328097260492	63.67289600664736	70.48884758364314	111.58656194520984	135.84579201329473	1987.0806133829	3145.6251812354653	3829.4928768547784	119.93144586418376	248.1599536508539	323.8508994858637	3년	111.58656194520984	3145.6251812354653	248.15995365085394	1.4432096829772085	2.102320460673461	2.491381512969854			3년	2.102320460673461	안심	3년	51.54328097260492	0.6048632525823326	헐값	N	FCF<=0	45145767.0	
JD	JD.com, Inc.	0001549802	Company Add-ons	보류	PEG=헐값, PEGY=보통	29.959999084472656	0.92	2025	3.34	19660000000.0	10831000000.0	30491000000.0	449195000.0	1146000000.0	32180000000.0	57402000000.0	35.922395124020454	64.07760487597956	0.5606076443329501	10.08778726350647	9.702970032851441	21.600230240180636	22.018509838718714	-50.0	25.092130660408696	-17.655175032048053	-91.5	58.68426132081739	-26.810350064096106	-84.18	53.989520415152	-24.665522058968417	-380.9746414299055	80.20534734639931	-182.32818028272837	3년	58.68426132081739	53.989520415152	80.20534734639931	-2.1601621594386207	1.3162883147198772	-0.6627325205737409	0.7216162553906267	2.4085990568825424	3년	1.3162883147198772	보통	3년	25.092130660408696	0.8608368309775418	헐값	Y		2978037127.0	단기위험부채 존재
PDD	PDD Holdings Inc.	0001737806	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	99.72000122070312	2.36	2025		15572577000.0	44816702000.0	60389279000.0			59113291000.0	30981848000.0	65.61207591899047	34.387924081009515	1.9079975797441133	10.184417739143575	10.184417739143575	37.938806559982865	37.938806559982865	-9.230769230769239	44.02182301961191	62.23275436857567	-9.961538461538478	96.54364603922382	132.96550873715134	-23.509230769230808	227.8430046525682	313.79860061967713	-123.5752411566858	128.48275357347782	214.67969993819915	3년	96.54364603922382	227.8430046525682	128.48275357347782				2.5778288363282638	2.5850669923508525	판정불가		판정불가	3년	44.02182301961191	0.8618181610307453	헐값	Y		5929576000.0	
TM	TOYOTA MOTOR CORP/	0001094517	Company Add-ons	보류	PEG=헐값, PEGY=보통	188.7100067138672	3.23	2012	3.04	18270000000.0		18270000000.0		43482000000.0	129166000000.0	241472000000.0	34.849637651832786	65.1503623481672	0.5349108799363902	6.4194955899787	-8.858693093297372	56.43669075042987	61.16678012605714	193.6363636363636	64.92633517465735		395.7727272727272	138.3526703493147		1278.345909090909	446.8791252282865		577.4128894124885	136.80732835003818		3년	138.3526703493147	446.8791252282865	136.80732835003818	3.4849024813678597	1.2042934174722084		5.965527976281246	3.16121443698877	3년	1.2042934174722084	보통	3년	64.92633517465735	0.8692418969684702	헐값	Y		2846018000.0	단기위험부채 존재
VRT	Vertiv Holdings Co	0001674101	Company Add-ons	제외	PEG=보통, PEGY=보통	328.30999755859375	3.41	2025	8.0	1728400000.0		1728400000.0	2892100000.0	20900000.0	3941300000.0	8271100000.0	32.27293570469359	67.7270642953064	0.4765146111158129	-2.9788598174833623	-3.032360006694845	97.1521575882924	97.16784679333975	166.40624999999997		95.30556878636357	341.31249999999994		199.11113757272713	1163.875625		678.9689791229996	254.50508167735043		106.8072809759086	5년	199.11113757272713	678.9689791229996	106.8072809759086	1.7951865849350659		1.0633378748431697	4.8477826951533824	1.4765869852282505	5년	1.0633378748431697	보통	5년	95.30556878636357	1.0193754554476049	보통	N	주당순현금<=0	390652824.0	단기위험부채 존재
