티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
NXT	Nextpower Inc.	0001852131	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	120.63999938964844	3.84	2026		1094976000.0		1094976000.0	0.0	0.0	2334397000.0	1738815000.0	57.31096245420076	42.68903754579924	1.34252177488692	7.170295091220365	7.170295091220365	29.549402161048977	29.549402161048977	10.662824207492786	476.8998281229633		29.825648414985572	962.2996562459266		114.5304899135446	3695.230679984358		-5.064248596662435	2963.022793998314		3년	962.2996562459266	3695.230679984358	2963.022793998314				3.3634594264019313	2.7880134643721943	판정불가		판정불가	3년	476.8998281229633	0.0619614443505943	매우 유망	Y		152710033.0	-3.3797863207388645	36.009023157062494		-22.86444750790989	125.70840042114258	104.54857501983642	N	Y	중립/개선	
SE	Sea Ltd	0001703399	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	91.79000091552734	2.52	2025		4158920000.0	6413261000.0	10572181000.0	1026000.0	856000.0	12526503000.0	16722651000.0	42.82688996748419	57.173110032515815	0.7490739955046601	16.56331158752774	16.56197037223774	29.85186084444429	29.85239307273397	240.54054054054052			489.58108108108104			1233.7443243243242			1244.0944678274016			1년	489.58108108108104	1233.7443243243242	1244.0944678274016				7.0675684411233775	7.699714969637631	판정불가		판정불가	1년	240.54054054054052	0.1241032417128582	매우 유망	Y		638227141.0	17.213642928347017	-24.74378945898792		-53.28753134069855	88.07679992675781	122.05314990997314	Y	N	중립/개선	단기위험부채 존재
GEV	GE Vernova Inc.	0001996810	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1034.97998046875	17.69	2025	18.0	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	56.694291094078984	56.70719447845237	217.02508960573476			442.5501792114695			7828.712670250897			656.4119903754289			1년	442.5501792114695	7828.712670250897	656.4119903754289	4.145480701323739					1년	4.145480701323739	안심	1년	217.02508960573476	0.2612338103261443	매우 유망	N	FCF<=0	276000000.0	13.807854656577657	57.224879140604855		-9.964946187459844	1026.3755895996094	777.5688980102539	Y	Y	강한 상승추세	단기위험부채 존재
MELI	MERCADOLIBRE INC	0001099590	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1583.6600341796875	39.4	2025	0.03788691935455649	3670000000.0	2629000000.0	6299000000.0	9193000000.0		6748000000.0	35919000000.0	15.81550144139499	84.18449855860501	0.18786714552186864	-57.08388530202385	-57.08388530202385	41.643246687353084	41.643246687353084	4.537012470151236	129.72289831422012		17.574024940302472	267.94579662844023		692.4165826479174	10557.064387160544		-56.277447955767926	566.6244117620199		3년	267.94579662844023	10557.064387160544	566.6244117620199	0.1098593350286296	3.1160102911232084		228.947013372699	14.456828386863357	3년	3.1160102911232084	안심	3년	129.72289831422012	0.3210169309236609	매우 유망	N	주당순현금<=0	50697320.0	-1.7592824535646368	-20.722260812038506		-39.407639750601284	1706.3248095703125	1965.885704345703	N	N	주의	
ENPH	Enphase Energy, Inc.	0001463101	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	47.220001220703125	1.29	2025		474318000.0	1038536000.0	1512854000.0	572194000.0	632183000.0	1087023000.0	2422769000.0	30.971151566816495	69.02884843318351	0.448669683325154	6.973740788517711	2.2869460136708035	31.19865149781815	34.831825741885524	72.00000000000001			152.50000000000003			196.72500000000005			316.6137122286816			1년	152.50000000000003	196.72500000000005	316.6137122286816				0.7109781593345492	1.5056716242159438	판정불가		판정불가	1년	72.00000000000001	0.4333146041363631	매우 유망	Y		134886000.0	15.255064226948868	42.01504126527256		-34.715885489678854	47.00039993286133	39.357450046539306	Y	Y	강한 상승추세	단기위험부채 존재
FSLR	FIRST SOLAR, INC.	0001274494	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	249.24000549316406	14.21	2025		2803514000.0	509032000.0	3312546000.0	282593000.0	0.0	9537993000.0	3783317000.0	71.59951236027088	28.40048763972913	2.5210663024007767	28.17591154672345	28.17591154672345	15.55693834950321	15.55693834950321	18.21963394342763		30.670348455238837	44.93926788685526		69.84069691047767	638.5869966722133		992.4363030978878	156.2136826343987		298.1849948743913	5년	69.84069691047767	992.4363030978878	298.1849948743913				11.040200117168974	4.429545768675476	판정불가		판정불가	5년	30.670348455238837	0.5072305706668915	헐값	Y		107537000.0	29.24034099297883	-6.644694270415819		-21.684208800262674	238.91540283203125	233.8451512145996	Y	Y	상승전환	
ALNY	ALNYLAM PHARMACEUTICALS, INC.	0001178670	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	288.17999267578125	2.33	2025		1657250000.0	1251234000.0	2908484000.0			789176000.0	4177155000.0	15.89052360787068	84.10947639212932	0.1889266737767691	21.594873927118293	21.594873927118293	114.41421405522016	114.41421405522016	206.8807339449541			422.2614678899082			983.8692201834862			241.40788576200518			1년	422.2614678899082	983.8692201834862	241.40788576200518				3.4553696058923107	1.1990317488070021	판정불가		판정불가	1년	206.8807339449541	0.5530443162757871	헐값	Y		134684000.0	-6.450250253066569	-27.996405875314156		-41.33382354960274	299.1734002685547	372.76149993896485	N	N	주의	
EME	EMCOR Group, Inc.	0000105634	Company Add-ons	제외	PEG=헐값, PEGY=안심	838.6099853515625	28.19	2025	15.0	1111968000.0		1111968000.0	0.0		3673944000.0	5616418000.0	39.54575720515519	60.4542427948448	0.654143619652241	24.630614870271227	24.630614870271227	28.87475595889646	28.87475595889646	30.994423791821568	51.54328097260492	63.67289600664736	70.48884758364314	111.58656194520984	135.84579201329473	1987.0806133829	3145.6251812354653	3829.4928768547784	136.9493147103269	275.099895801593	356.64766026478645	3년	111.58656194520984	3145.6251812354653	275.099895801593	1.5928939402049023	2.3045486883882247	2.724625486658281			3년	2.3045486883882247	안심	3년	51.54328097260492	0.5602040734318658	헐값	N	FCF<=0	45145767.0	10.15933424882991	37.16001082522797		-11.140663803807948	857.612802734375	727.5942520141601	N	Y	상승전환	
PDD	PDD Holdings Inc.	0001737806	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	76.55999755859375	2.36	2025		15572577000.0	44816702000.0	60389279000.0			59113291000.0	30981848000.0	65.61207591899047	34.387924081009515	1.9079975797441133	10.184417739143575	10.184417739143575	28.125245686207705	28.125245686207705	-9.230769230769239	44.02182301961191	62.23275436857567	-9.961538461538478	96.54364603922382	132.96550873715134	-23.509230769230808	227.8430046525682	313.79860061967713	-130.70693772062683	197.6005902797905	309.8727933990819	3년	96.54364603922382	227.8430046525682	197.6005902797905				2.5778288363282638	3.367070165271846	판정불가		판정불가	3년	44.02182301961191	0.6388932524143262	헐값	Y		5929576000.0	-21.94922987368915	-30.08857997888349		-44.57395580088037	92.8367999267578	110.12084999084473	N	N	주의	
JD	JD.com, Inc.	0001549802	Company Add-ons	양호	PEG=헐값, PEGY=양호	26.1200008392334	0.92	2025	3.7	19660000000.0	10831000000.0	30491000000.0	449195000.0	1146000000.0	32180000000.0	57402000000.0	35.922395124020454	64.07760487597956	0.5606076443329501	10.08778726350647	9.702970032851441	17.426319104051007	17.844598702589085	-50.0	25.092130660408696	-17.655175032048053	-91.5	58.68426132081739	-26.810350064096106	-84.18	53.989520415152	-24.665522058968417	-422.2817660616531	106.69800413657472	-194.43155155615352	3년	58.68426132081739	53.989520415152	106.69800413657472	-2.6569007329400316	1.6522210162968687	-0.8008102542322874	0.7216162553906267	2.7626961416736524	3년	1.652221016296869	양호	3년	25.092130660408696	0.6944933987430133	헐값	Y		2978037127.0	-4.914446697728147	-9.368490229636306		-27.785451585509335	29.98459999084473	30.204574985504152	N	N	주의	단기위험부채 존재
