티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	231.58999633789062	11.17	2025	2.91	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	24.568463403748673	25.174689739083597	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	652.0971244429891	749.013678625335	60.4788352805363	3년	176.02781980632085	1966.230747236604	749.013678625335	3.118915111996775	3.527852290914362	0.6225953015446914	12.756736597321586	5.508327993023266	3년	3.527852290914362	안심	3년	83.76390990316042	0.2933060721753833	매우 유망	N	주당순현금<=0	948675228.0	단기위험부채 존재
CAH	CARDINAL HEALTH INC	0000721371	Dividend Aristocrats	매우 유망	PEG=매우 유망, PEGY=안심	196.4600067138672	6.45	2025	1.05	3874000000.0	200000000.0	4074000000.0	2502000000.0	855000000.0	-2781000000.0					6.4958677685950414	2.9628099173553717	29.45180448763909	29.999565394808034	86.95652173913044			182.41304347826087			1176.5641304347828			498.88226113540827			1년	182.41304347826087	1176.5641304347828	498.88226113540827	2.9881538082349666			7.644628099173554	3.891187945599289	1년	2.9881538082349666	안심	1년	86.95652173913044	0.3386957516078495	매우 유망	Y		242000000.0	단기위험부채 존재
NDSN	NORDSON CORP	0000072331	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=불리(<1)	280.0199890136719	8.51	2025	1.16	108442000.0	279000.0	108721000.0	1681254000.0	315000000.0	3043571000.0					-27.6290146883126	-33.16348654157003	36.15146929518032	36.80181851412949	4.9321824907521625	-1.1482071165261345	93.96062427456746	18.364364981504323	6.2035857669477315	196.42124854913493	156.2807459926018	52.79251487672519	1671.5448251531382	-44.18943213908509	-81.14687631312363	496.9376797138313	5년	196.42124854913493	1671.5448251531382	496.9376797138313	0.16851825415473132	0.0003262075844712033	2.631168971249776	11.615626537353293	4.148141915963779	3년	0.0003262075844712	불리(<1)	5년	93.96062427456746	0.3847512676112085	매우 유망	N	주당순현금<=0	56916000.0	단기위험부채 존재
ECL	ECOLAB INC.	0000031462	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	258.5	7.28	2025	1.06	646200000.0		646200000.0	6613200000.0	74400000.0	9770800000.0	14891800000.0	39.61788294826985	60.382117051730155	0.6561194751473965	-20.922159887798035	-21.18302945301543	38.382164819752475	38.417998551238384	338.5542168674699	98.55590630677445	47.57731615945522	685.6084337349398	205.6118126135489	103.65463231891044	4991.229397590362	1496.853995826636	754.605723281668	1830.8430938454012	479.0537701457006	191.91710765248277	3년	205.6118126135489	1496.853995826636	479.0537701457006	8.84822986046622	2.595369666473567	1.2671853291199766	6.677068723702665	2.5830053089758858	3년	2.595369666473567	안심	3년	98.55590630677445	0.3894456076562323	매우 유망	N	주당순현금<=0	285200000.0	단기위험부채 존재
AOS	SMITH A O CORP	0000091142	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	59.334999084472656	3.85	2025	2.35	174500000.0	18700000.0	193200000.0	112700000.0	42300000.0	1858000000.0	1284800000.0	59.119256713758425	40.88074328624157	1.4461394769613947	0.5672415936205122	0.2691755139913486	15.26435259502653	15.34177235596917		36.61380704310213	39.07395391564303		81.72761408620426	86.64790783128606		314.6513142318864	333.59444515045135		430.2963159802716	462.2220448264058	3년	81.72761408620426	314.6513142318864	430.29631598027163		2.552601350141598	2.713770771329004			3년	2.552601350141598	안심	3년	36.61380704310213	0.4169015414610446	매우 유망	N	FCF<=0	141914840.0	단기위험부채 존재
SYY	SYSCO CORP	0000096021	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	73.66000366210938	3.73	2025	2.97	1071000000.0	15000000.0	1086000000.0	10588184000.0	8782000.0	1830000000.0					-19.39911484586042	-19.417043674283057	24.94882533725732	24.953631993670896	-4.113110539845763	55.60535751644491		0.27377892030847484	119.71071503288982		1.0211953727506111	446.520967072679		-98.61363654360512	506.1918882341421		3년	119.71071503288982	446.520967072679	506.1918882341421	-0.04581821085334622	2.3478202570511977				3년	2.3478202570511977	안심	3년	55.60535751644491	0.448676646488225	매우 유망	N	주당순현금<=0 | FCF<=0	489825648.0	단기위험부채 존재
BDX	BECTON DICKINSON & CO	0000010795	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=불리(<1)	149.19000244140625	5.82	2025	2.81	641000000.0		641000000.0	17621000000.0	752000000.0	25390000000.0					-58.854316503124686	-61.460820979588156	35.74644655404312	36.19429955687189	-0.6825938566552906	-0.3412995832631105	74.47134006583379	7.134812286689419	7.817400833473779	157.44268013166757	41.52460750853242	45.497272850817396	916.3163983663053	-72.16662857496698	-69.50380581387398	514.1942377983302	5년	157.44268013166757	916.3163983663053	514.1942377983302	0.059513779645996405	0.06906142161584075	2.1619306956565967	13.472716622358401	9.030576045234502	3년	0.0690614216158407	불리(<1)	5년	74.47134006583379	0.4800027302106115	매우 유망	N	주당순현금<=0	288509000.0	단기위험부채 존재
MDT	Medtronic plc	0001613103	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=불리(<1)	79.16500091552734	3.61	2025	3.55	2218000000.0	6747000000.0	8965000000.0	22140000000.0	0.0	48024000000.0	43424000000.0	52.51509054325956	47.48490945674044	1.1059322033898304	-10.213970075199628	-10.213970075199628	24.75871772596315	24.75871772596315	30.797101449275367	-1.0840962354592645	49.71082131301119	70.09420289855073	6.3318075290814715	107.92164262602238	253.04007246376813	22.85782517998411	389.5971298799408	219.6362907060071	-71.12635013498648	392.1330453790541	5년	107.92164262602238	389.5971298799408	392.1330453790541	1.3872730336618921	0.09959739401022669	2.151194658080349	4.019691448949531	5.0776118265175345	3년	0.0995973940102266	불리(<1)	5년	49.71082131301119	0.4980548917119353	매우 유망	N	주당순현금<=0	1289900000.0	
CB	Chubb Ltd	0000896159	Dividend Aristocrats	제외	PEG=헐값, PEGY=안심	323.75	25.68	2025	1.19	2012000000.0		2012000000.0	15728000000.0	1499000000.0	73757000000.0	192548000000.0	27.69643829443683	72.30356170556317	0.3830577310592683	-34.16075806677187	-37.89413341979688	13.937334815684261	14.08271547584879	13.12775330396476	26.955181644310855	26.943805197471637	34.75550660792952	62.41036328862171	62.38761039494327	892.5214096916301	1602.6981292518055	1602.1138349421433	175.6822887078394	395.04189320519095	394.8614161983454	3년	62.41036328862171	1602.6981292518055	395.04189320519095	1.0272949235496873	2.019409163697346	2.0185929067163904			3년	2.019409163697346	안심	3년	26.955181644310855	0.5170558670164208	헐값	N	주당순현금<=0 | FCF<=0	401513338.0	단기위험부채 존재
CINF	CINCINNATI FINANCIAL CORP	0000020286	Dividend Aristocrats	양호	PEG=헐값, PEGY=안심	160.4499969482422	15.17	2025	2.19	1139000000.0	148000000.0	1287000000.0	790000000.0		15911000000.0	25091000000.0	38.80542412565241	61.19457587434759	0.6341317603921724	3.1515535827520607	3.1515535827520607	10.36904702475215	10.36904702475215	4.404679972470754		18.581314428449215	17.30935994494151		45.66262885689843	262.5829903647627		692.7020797591491	63.65409495736323		331.72458269513106	5년	45.66262885689843	692.7020797591491	331.72458269513106	0.6359967272526074		2.0032038025158543	19.60684844641725	12.219912009560217	5년	2.0032038025158543	안심	5년	18.581314428449215	0.5580362500554028	헐값	Y		157700000.0	
