티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	230.32000732421875	11.17	2025	2.91	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	24.45476698354528	25.060993318880207	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	656.2442026597428	753.695156612584	61.36371870903603	3년	176.02781980632085	1966.230747236604	753.695156612584	3.133415740172496	3.5442541718545155	0.6254899051640477	12.756736597321586	5.538701021038124	3년	3.5442541718545155	안심	3년	83.76390990316042	0.2919487284179722	매우 유망	N	주당순현금<=0	948675228.0	-21.767864827171437	-25.101658249787484		-26.9017121447807	242.64289947509766	272.5279748535156	N	N	주의	단기위험부채 존재
CAH	CARDINAL HEALTH INC	0000721371	Dividend Aristocrats	매우 유망	PEG=매우 유망, PEGY=안심	199.18499755859375	6.45	2025	1.05	3874000000.0	200000000.0	4074000000.0	2502000000.0	855000000.0	-2781000000.0					6.4958677685950414	2.9628099173553717	29.87428368837189	30.422044595540832	86.95652173913044			182.41304347826087			1176.5641304347828			490.6891306352909			1년	182.41304347826087	1176.5641304347828	490.6891306352909	2.9458956290686102			7.644628099173554	3.8379537580006513	1년	2.9458956290686102	안심	1년	86.95652173913044	0.3435542624162767	매우 유망	Y		242000000.0	-8.610093702963727	4.4346549591703255		-13.333047026381484	212.8832000732422	189.4887501525879	N	Y	중립/개선	단기위험부채 존재
NDSN	NORDSON CORP	0000072331	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=불리(<1)	280.2300109863281	8.51	2025	1.16	108442000.0	279000.0	108721000.0	1681254000.0	315000000.0	3043571000.0					-27.6290146883126	-33.16348654157003	36.17614872792488	36.82649794687405	4.9321824907521625	-1.1482071165261345	93.96062427456746	18.364364981504323	6.2035857669477315	196.42124854913493	156.2807459926018	52.79251487672519	1671.5448251531382	-44.231260084336064	-81.1610060282584	496.49029712049276	5년	196.42124854913493	1671.5448251531382	496.49029712049276	0.16840329070323398	0.0003259850450792334	2.6293739831167406	11.615626537353293	4.145033037849753	3년	0.0003259850450792	불리(<1)	5년	93.96062427456746	0.3850139247927151	매우 유망	N	주당순현금<=0	56916000.0	0.7405534238610123	20.814837108559757		-6.36840422814614	276.2700006103516	248.43270042419434	Y	Y	강한 상승추세	단기위험부채 존재
ECL	ECOLAB INC.	0000031462	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	256.84759521484375	7.28	2025	1.06	646200000.0		646200000.0	6613200000.0	74400000.0	9770800000.0	14891800000.0	39.61788294826985	60.382117051730155	0.6561194751473965	-20.922159887798035	-21.18302945301543	38.15518614047277	38.19101987195867	338.5542168674699	98.55590630677445	47.57731615945522	685.6084337349398	205.6118126135489	103.65463231891044	4991.229397590362	1496.853995826636	754.605723281668	1843.2649908267113	482.7790579758287	193.79512883913418	3년	205.6118126135489	1496.853995826636	482.7790579758287	8.900866467198995	2.610809076910983	1.2747235980029363	6.677068723702665	2.5996228300745967	3년	2.610809076910983	안심	3년	98.55590630677445	0.3871425627370046	매우 유망	N	주당순현금<=0	285200000.0	-9.043984664923121	0.18642622369362538		-16.692723970169077	274.72296020507815	272.9140892791748	N	N	판정불가	단기위험부채 존재
AOS	SMITH A O CORP	0000091142	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	59.19499969482422	3.85	2025	2.35	174500000.0	18700000.0	193200000.0	112700000.0	42300000.0	1858000000.0	1284800000.0	59.119256713758425	40.88074328624157	1.4461394769613947	0.5672415936205122	0.2691755139913486	15.227989117195767	15.305408878138406		36.61380704310213	39.07395391564303		81.72761408620426	86.64790783128606		314.6513142318864	333.59444515045135		431.5504955723452	463.5517305013511	3년	81.72761408620426	314.6513142318864	431.5504955723452		2.5586968012147695	2.720251084817642			3년	2.5586968012147695	안심	3년	36.61380704310213	0.4159083784778029	매우 유망	N	FCF<=0	141914840.0	-22.45218286242424	-10.28943373334762		-26.432210929669253	67.22779922485351	69.73289978027344	N	N	주의	단기위험부채 존재
SYY	SYSCO CORP	0000096021	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=안심	72.61000061035156	3.73	2025	2.97	1071000000.0	15000000.0	1086000000.0	10588184000.0	8782000.0	1830000000.0					-19.39911484586042	-19.417043674283057	24.667323178609113	24.672129835022687	-4.113110539845763	55.60535751644491		0.27377892030847484	119.71071503288982		1.0211953727506111	446.520967072679		-98.59358853578493	514.9579442491029		3년	119.71071503288982	446.520967072679	514.9579442491029	-0.0463410857987639	2.3746134549062057				3년	2.3746134549062057	안심	3년	55.60535751644491	0.4436141458368273	매우 유망	N	주당순현금<=0 | FCF<=0	489825648.0	-14.16923316472991	-2.221326808016577		-20.32690397575466	79.67080017089843	79.05945011138915	N	N	주의	단기위험부채 존재
BDX	BECTON DICKINSON & CO	0000010795	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=불리(<1)	149.35499572753906	5.82	2025	2.81	641000000.0		641000000.0	17621000000.0	752000000.0	25390000000.0					-58.854316503124686	-61.460820979588156	35.77479591592161	36.22264891875038	-0.6825938566552906	-0.3412995832631105	74.47134006583379	7.134812286689419	7.817400833473779	157.44268013166757	41.52460750853242	45.497272850817396	916.3163983663053	-72.19737625363152	-69.53749512750426	513.5157340420645	5년	157.44268013166757	916.3163983663053	513.5157340420645	0.059466618575395015	0.06900669461647975	2.160217496347468	13.472716622358401	9.020599918154739	3년	0.0690066946164797	불리(<1)	5년	74.47134006583379	0.4803834050024633	매우 유망	N	주당순현금<=0	288509000.0	-7.9755746996793775	6.334532319797148		-19.41582352645358	159.9063006591797	154.28457908630372	N	N	판정불가	단기위험부채 존재
MDT	Medtronic plc	0001613103	Dividend Aristocrats	제외	PEG=매우 유망, PEGY=불리(<1)	79.06500244140625	3.61	2025	3.55	2218000000.0	6747000000.0	8965000000.0	22140000000.0	0.0	48024000000.0	43424000000.0	52.51509054325956	47.48490945674044	1.1059322033898304	-10.213970075199628	-10.213970075199628	24.731017317619358	24.731017317619358	30.797101449275367	-1.0840962354592645	49.71082131301119	70.09420289855073	6.3318075290814715	107.92164262602238	253.04007246376813	22.85782517998411	389.5971298799408	220.0405547970379	-71.08983181664522	392.7554769490644	5년	107.92164262602238	389.5971298799408	392.7554769490644	1.3888268730783317	0.09970894981274903	2.153604141268627	4.019691448949531	5.084033801084692	3년	0.099708949812749	불리(<1)	5년	49.71082131301119	0.4974976607587515	매우 유망	N	주당순현금<=0	1289900000.0	-23.357238227215028	-12.811461420245063		-24.935925034227267	87.94580017089844	94.10634986877442	N	N	주의	
CB	Chubb Ltd	0000896159	Dividend Aristocrats	제외	PEG=헐값, PEGY=안심	326.9049987792969	25.68	2025	1.19	2012000000.0		2012000000.0	15728000000.0	1499000000.0	73757000000.0	192548000000.0	27.69643829443683	72.30356170556317	0.3830577310592683	-34.16075806677187	-37.89413341979688	14.060193023600807	14.205573683765333	13.12775330396476	26.955181644310855	26.943805197471637	34.75550660792952	62.41036328862171	62.38761039494327	892.5214096916301	1602.6981292518055	1602.1138349421433	173.02164635732518	390.2641853861139	390.08545018419164	3년	62.41036328862171	1602.6981292518055	390.2641853861139	1.0183184028790802	2.0017635317714078	2.0009544072579586			3년	2.001763531771408	안심	3년	26.955181644310855	0.5216137367995939	헐값	N	주당순현금<=0 | FCF<=0	401513338.0	4.322223083512089	18.049030443746794		-4.619856903226271	328.90549926757814	300.4372749328613	N	Y	상승전환	단기위험부채 존재
EXPD	EXPEDITORS INTERNATIONAL OF WASHINGTON INC	0000746515	Dividend Aristocrats	제외	PEG=헐값, PEGY=양호	137.77499389648438	5.95	2025	1.05	1314285000.0	40000.0	1314325000.0			2355633000.0					9.646492818295915	9.646492818295915	21.534201861880412	21.534201861880412	4.020979020979029	-10.357841347469254	38.67934932316548	16.541958041958058	-12.215682694938508	85.85869864633096	98.42465034965045	-72.68331203488412	510.85925694566924	-28.561310317603315	-152.7550827470868	270.7924366373025	5년	85.85869864633096	510.85925694566924	270.7924366373025	0.2354848836982259	-0.43223526031609666	1.844941808291205			5년	1.844941808291205	양호	5년	38.67934932316548	0.5567364042751191	헐값	N	FCF<=0	136249000.0	-15.035136978248087	13.068088683980772		-16.486907756899672	144.99659973144531	137.79834972381593	N	Y	중립/개선	
