티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
NFG	NATIONAL FUEL GAS CO	0000070145	Dividend Kings	제외	PEG=매우 유망, PEGY=안심	83.57499694824219	5.68	2025	2.58	43166000.0		43166000.0	2382861000.0	150200000.0	-15476000.0					-25.646824613896737	-27.2932584683125	19.229193936996293	19.519059052210334	576.1904761904761	-2.6152231791133684		1160.8809523809523	3.269553641773263		6593.803809523809	18.571064685272134		7789.684774511373	-77.77916199413905		1년	1160.8809523809523	6593.803809523809	7789.684774511373	30.098530291326572	-0.0018317553626416034		2.0520792020622998	2.455374546209254	1년	30.098530291326572	안심	1년	576.1904761904761	0.0333729812129687	매우 유망	N	주당순현금<=0	91227473.0	단기위험부채 존재
SON	SONOCO PRODUCTS CO	0000091767	Dividend Kings	제외	PEG=매우 유망, PEGY=안심	49.529998779296875	10.07	2025	4.25	378398000.0		378398000.0	3788973000.0	195445000.0	3613881000.0	7530502000.0	32.427824851317474	67.57217514868252	0.4798990824250495	-34.2526940575067	-36.21556477287564	8.320029080119522	8.514951693363706	2388.6363636363635	28.73475889632797	37.484937919684214	4785.772727272727	65.96951779265595	83.46987583936843	48192.73136363636	664.3130441720455	840.54164970244	97200.08591032012	1241.2337180386178	1597.0354742947811	3년	65.96951779265595	664.3130441720455	1241.2337180386178	287.6055288501454	3.9645004336756635	5.016200967302949	3.472486969097428	7.010876347020825	3년	3.964500433675663	안심	3년	28.73475889632797	0.2895458114034408	매우 유망	N	주당순현금<=0	99571000.0	단기위험부채 존재
NDSN	NORDSON CORP	0000072331	Dividend Kings	제외	PEG=매우 유망, PEGY=불리(<1)	280.7200012207031	8.51	2025	1.16	108442000.0	279000.0	108721000.0	1681254000.0	315000000.0	3043571000.0					-27.6290146883126	-33.16348654157003	36.23372689882677	36.884076117775926	4.9321824907521625	-1.1482071165261345	93.96062427456746	18.364364981504323	6.2035857669477315	196.42124854913493	156.2807459926018	52.79251487672519	1671.5448251531382	-44.32860312303387	-81.19388905416129	495.44913717742656	5년	196.42124854913493	1671.5448251531382	495.44913717742656	0.16813568495901604	0.0003254670298419535	2.625195706203974	11.615626537353293	4.137797979069202	3년	0.0003254670298419	불리(<1)	5년	93.96062427456746	0.3856267152179217	매우 유망	N	주당순현금<=0	56916000.0	단기위험부채 존재
SYY	SYSCO CORP	0000096021	Dividend Kings	제외	PEG=매우 유망, PEGY=안심	73.75	3.73	2025	2.97	1071000000.0	15000000.0	1086000000.0	10588184000.0	8782000.0	1830000000.0					-19.39911484586042	-19.417043674283057	24.972953041785637	24.977759698199215	-4.113110539845763	55.60535751644491		0.27377892030847484	119.71071503288982		1.0211953727506111	446.520967072679		-98.61532830813476	505.4521587426156		3년	119.71071503288982	446.520967072679	505.4521587426156	-0.04577394343124215	2.3455519024295817				3년	2.3455519024295817	안심	3년	55.60535751644491	0.4491105561977558	매우 유망	N	주당순현금<=0 | FCF<=0	489825648.0	단기위험부채 존재
BDX	BECTON DICKINSON & CO	0000010795	Dividend Kings	제외	PEG=매우 유망, PEGY=불리(<1)	149.6300048828125	5.82	2025	2.81	641000000.0		641000000.0	17621000000.0	752000000.0	25390000000.0					-58.854316503124686	-61.460820979588156	35.82204834809917	36.269901350927945	-0.6825938566552906	-0.3412995832631105	74.47134006583379	7.134812286689419	7.817400833473779	157.44268013166757	41.52460750853242	45.497272850817396	916.3163983663053	-72.24847547050892	-69.59348301401846	512.3881363794297	5년	157.44268013166757	916.3163983663053	512.3881363794297	0.0593881768756419	0.06891566871741678	2.157367979487264	13.472716622358401	9.00402070621463	3년	0.0689156687174167	불리(<1)	5년	74.47134006583379	0.4810179099292687	매우 유망	N	주당순현금<=0	288509000.0	단기위험부채 존재
CINF	CINCINNATI FINANCIAL CORP	0000020286	Dividend Kings	양호	PEG=헐값, PEGY=안심	160.4499969482422	15.17	2025	2.19	1139000000.0	148000000.0	1287000000.0	790000000.0		15911000000.0	25091000000.0	38.80542412565241	61.19457587434759	0.6341317603921724	3.1515535827520607	3.1515535827520607	10.36904702475215	10.36904702475215	4.404679972470754		18.581314428449215	17.30935994494151		45.66262885689843	262.5829903647627		692.7020797591491	63.65409495736323		331.72458269513106	5년	45.66262885689843	692.7020797591491	331.72458269513106	0.6359967272526074		2.0032038025158543	19.60684844641725	12.219912009560217	5년	2.0032038025158543	안심	5년	18.581314428449215	0.5580362500554028	헐값	Y		157700000.0	
KVUE	Kenvue Inc.	0001944048	Dividend Kings	제외	PEG=헐값, PEGY=양호	17.184999465942383	0.76	2025	4.76	1062000000.0		1062000000.0	7687000000.0	700000000.0	10765000000.0	16311000000.0	39.75845767469345	60.24154232530654	0.6599840598369199	-3.4433471933471935	-3.807172557172557	27.142561393802072	27.621278977782815	40.74074074074073			89.98148148148147			68.38592592592592			297.93964533693867			1년	89.98148148148147	68.38592592592592	297.93964533693867	1.6763613455851185			0.895010395010395	5.208090909657267	1년	1.6763613455851183	양호	1년	40.74074074074073	0.6662265069387783	헐값	N	주당순현금<=0	1924000000.0	단기위험부채 존재
FMCB	FARMERS & MERCHANTS BANCORP	0001085913	Dividend Kings	양호	PEG=헐값, PEGY=양호	1315.0	133.96	2025	1.86	144864000.0		144864000.0			645514000.0	5044596000.0	11.344490704046144	88.65550929595386	0.12796148591482845	207.313443088407	207.313443088407	8.268785883185974	8.268785883185974	10.692447529334006	11.534087946696769		29.88489505866801	31.568175893393537		4003.380542059167	4228.8728426789985		204.43958494746516	221.58728841665388		3년	31.568175893393537	4228.8728426789985	221.58728841665388	1.5180520703599996	1.6198373178259162		138.26620566482723	10.514540354739713	3년	1.6198373178259162	양호	3년	11.534087946696769	0.716899846905889	헐값	Y		698768.0	
MSEX	MIDDLESEX WATER CO	0000066004	Dividend Kings	제외	PEG=헐값, PEGY=불리(<1)	50.029998779296875	2.36	2025	2.79	2800000.0	200000.0	3000000.0	378874000.0	42800000.0	494031000.0					-20.72415504217897	-23.08397199095771	29.980573653167735	30.980496089090927	381.6326530612245	-0.4201730228791778	38.090190585589355	771.765306122449	7.659653954241644	84.68038117117871	1821.3661224489797	18.07678333201028	199.84569956398175	3540.5480049755406	-63.86811158690111	299.4517378375007	5년	84.68038117117871	199.84569956398175	299.4517378375007	12.82239150953026	0.07904541802756423	1.3635559832348294	-0.6630644538788113	-1.3253337398704812	3년	0.0790454180275642	불리(<1)	5년	38.090190585589355	0.7870943461362011	헐값	N	주당순현금<=0 | FCF<=0	18137000.0	단기위험부채 존재
PH	Parker-Hannifin Corp	0000076334	Dividend Kings	제외	PEG=헐값, PEGY=안심	875.8800048828125	27.12	2025	91.0	467000000.0	8390000.0	475390000.0	8796284000.0	1800000000.0	13682000000.0	15803000000.0	46.40325589282686	53.596744107173144	0.8657849775359109	-63.90855606758833	-77.73344086021505	34.6529705365192	35.162737674890394	24.175824175824182	39.03778474522208	64.23010312898325	56.851648351648365	86.57556949044417	136.9602062579665	1541.8167032967037	2347.929444580846	3714.3607937160514	76.03058577675712	168.06519517419338	324.07187891142814	3년	86.57556949044417	2347.929444580846	168.06519517419338	3.3236926702848053	3.7525725134640666	4.479561224495697	25.6605222734255	2.9296846748840584	3년	3.7525725134640666	안심	3년	39.03778474522208	0.8876776887489869	헐값	N	주당순현금<=0	130200000.0	단기위험부채 존재
