티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
NFG	NATIONAL FUEL GAS CO	0000070145	Dividend Kings	제외	PEG=매우 유망, PEGY=안심	83.98500061035156	5.68	2025	2.58	43166000.0		43166000.0	2382861000.0	150200000.0	-15476000.0					-25.646824613896737	-27.2932584683125	19.301377680325405	19.59124279553945	576.1904761904761	-2.6152231791133684		1160.8809523809523	3.269553641773263		6593.803809523809	18.571064685272134		7751.1683772150745	-77.88764118555814		1년	1160.8809523809523	6593.803809523809	7751.1683772150745	29.985967104329447	-0.0018249049211276056		2.0520792020622998	2.4433877325106206	1년	29.985967104329447	안심	1년	576.1904761904761	0.0334982587840358	매우 유망	N	주당순현금<=0	91227473.0	0.6652286984845546	6.431373352830128		-12.788164123720092	91.32350006103516	86.13437477111816	N	N	중립/개선	단기위험부채 존재
SON	SONOCO PRODUCTS CO	0000091767	Dividend Kings	제외	PEG=매우 유망, PEGY=안심	49.400001525878906	10.07	2025	4.25	378398000.0		378398000.0	3788973000.0	195445000.0	3613881000.0	7530502000.0	32.427824851317474	67.57217514868252	0.4798990824250495	-34.2526940575067	-36.21556477287564	8.307119720296486	8.50204233354067	2388.6363636363635	28.73475889632797	37.484937919684214	4785.772727272727	65.96951779265595	83.46987583936843	48192.73136363636	664.3130441720455	840.54164970244	97456.1333502994	1244.7632057744684	1601.5012626307514	3년	65.96951779265595	664.3130441720455	1244.7632057744684	288.0524711579527	3.970661313058665	5.023996201440886	3.472486969097428	7.029325631251885	3년	3.970661313058665	안심	3년	28.73475889632797	0.2890965520284235	매우 유망	N	주당순현금<=0	99571000.0	0.7957625335692997	21.764855552072348		-14.280755491413155	53.55000007629395	47.071900005340574	N	Y	상승전환	단기위험부채 존재
NDSN	NORDSON CORP	0000072331	Dividend Kings	제외	PEG=매우 유망, PEGY=불리(<1)	280.2300109863281	8.51	2025	1.16	108442000.0	279000.0	108721000.0	1681254000.0	315000000.0	3043571000.0					-27.6290146883126	-33.16348654157003	36.17614872792488	36.82649794687405	4.9321824907521625	-1.1482071165261345	93.96062427456746	18.364364981504323	6.2035857669477315	196.42124854913493	156.2807459926018	52.79251487672519	1671.5448251531382	-44.231260084336064	-81.1610060282584	496.49029712049276	5년	196.42124854913493	1671.5448251531382	496.49029712049276	0.16840329070323398	0.0003259850450792334	2.6293739831167406	11.615626537353293	4.145033037849753	3년	0.0003259850450792	불리(<1)	5년	93.96062427456746	0.3850139247927151	매우 유망	N	주당순현금<=0	56916000.0	0.7153863243034131	20.784655032621057		-6.391795361234454	276.2686004638672	248.43235038757325	Y	Y	강한 상승추세	단기위험부채 존재
SYY	SYSCO CORP	0000096021	Dividend Kings	제외	PEG=매우 유망, PEGY=안심	72.63500213623047	3.73	2025	2.97	1071000000.0	15000000.0	1086000000.0	10588184000.0	8782000.0	1830000000.0					-19.39911484586042	-19.417043674283057	24.674026000560563	24.678832656974137	-4.113110539845763	55.60535751644491		0.27377892030847484	119.71071503288982		1.0211953727506111	446.520967072679		-98.59407263341811	514.7462709992178		3년	119.71071503288982	446.520967072679	514.7462709992178	-0.04632849701219381	2.3739683793440984				3년	2.3739683793440984	안심	3년	55.60535751644491	0.4437346885731898	매우 유망	N	주당순현금<=0 | FCF<=0	489825648.0	-14.181044210004712	-2.2347819870690566		-20.337867673028065	79.67060028076172	79.05940013885498	N	N	주의	단기위험부채 존재
BDX	BECTON DICKINSON & CO	0000010795	Dividend Kings	제외	PEG=매우 유망, PEGY=불리(<1)	149.3699951171875	5.82	2025	2.81	641000000.0		641000000.0	17621000000.0	752000000.0	25390000000.0					-58.854316503124686	-61.460820979588156	35.777373130637834	36.225226133466606	-0.6825938566552906	-0.3412995832631105	74.47134006583379	7.134812286689419	7.817400833473779	157.44268013166757	41.52460750853242	45.497272850817396	916.3163983663053	-72.20016812884376	-69.54055410183099	513.4541262101627	5년	157.44268013166757	916.3163983663053	513.4541262101627	0.059462334911416746	0.06900172373535234	2.1600618855847236	13.472716622358401	9.01969409036162	3년	0.0690017237353523	불리(<1)	5년	74.47134006583379	0.4804180118017226	매우 유망	N	주당순현금<=0	288509000.0	-7.990979854306146	6.316731611917636		-19.429313550379234	159.9058004760742	154.28445404052735	N	N	판정불가	단기위험부채 존재
CINF	CINCINNATI FINANCIAL CORP	0000020286	Dividend Kings	양호	PEG=헐값, PEGY=양호	160.96249389648438	15.17	2025	2.19	1139000000.0	148000000.0	1287000000.0	790000000.0		15911000000.0	25091000000.0	38.80542412565241	61.19457587434759	0.6341317603921724	3.1515535827520607	3.1515535827520607	10.402830607365347	10.402830607365347	4.404679972470754		18.581314428449215	17.30935994494151		45.66262885689843	262.5829903647627		692.7020797591491	63.13302807897028		330.34999209482214	5년	45.66262885689843	692.7020797591491	330.34999209482214	0.6339313040242749		1.996698323025931	19.60684844641725	12.181004389150738	5년	1.996698323025931	양호	5년	18.581314428449215	0.5598543982140429	헐값	Y		157700000.0	-1.7562881504659678	4.122192709459194		-6.769476057443402	162.72565002441405	159.91976203918458	N	Y	중립/개선	
KVUE	Kenvue Inc.	0001944048	Dividend Kings	제외	PEG=헐값, PEGY=양호	17.18000030517578	0.76	2025	4.76	1062000000.0		1062000000.0	7687000000.0	700000000.0	10765000000.0	16311000000.0	39.75845767469345	60.24154232530654	0.6599840598369199	-3.4433471933471935	-3.807172557172557	27.135983550688124	27.614701134668866	40.74074074074073			89.98148148148147			68.38592592592592			298.0554406935804			1년	89.98148148148147	68.38592592592592	298.0554406935804	1.6767677005607158			0.895010395010395	5.209606397624785	1년	1.6767677005607158	양호	1년	40.74074074074073	0.6660650507896178	헐값	N	주당순현금<=0	1924000000.0	-2.302448454418704	19.58941964371337		-29.684946438545488	17.697299880981447	17.919824957847595	N	N	판정불가	단기위험부채 존재
FMCB	FARMERS & MERCHANTS BANCORP	0001085913	Dividend Kings	양호	PEG=헐값, PEGY=양호	1315.0	133.96	2025	1.86	144864000.0		144864000.0			645514000.0	5044596000.0	11.344490704046144	88.65550929595386	0.12796148591482845	207.313443088407	207.313443088407	8.268785883185974	8.268785883185974	10.692447529334006	11.534087946696769		29.88489505866801	31.568175893393537		4003.380542059167	4228.8728426789985		204.43958494746516	221.58728841665388		3년	31.568175893393537	4228.8728426789985	221.58728841665388	1.5180520703599996	1.6198373178259162		138.26620566482723	10.514540354739713	3년	1.6198373178259162	양호	3년	11.534087946696769	0.716899846905889	헐값	Y		698768.0	13.362068965517238	30.06923837784372		0.0	1180.0325390625	1094.1774212646485	Y	Y	강한 상승추세	
MSEX	MIDDLESEX WATER CO	0000066004	Dividend Kings	제외	PEG=헐값, PEGY=불리(<1)	51.56999969482422	2.36	2025	2.79	2800000.0	200000.0	3000000.0	378874000.0	42800000.0	494031000.0					-20.72415504217897	-23.08397199095771	30.633116413984407	31.633038849907596	381.6326530612245	-0.4201730228791778	38.090190585589355	771.765306122449	7.659653954241644	84.68038117117871	1821.3661224489797	18.07678333201028	199.84569956398175	3431.832719075582	-64.94709435915598	287.52317383480437	5년	84.68038117117871	199.84569956398175	287.52317383480437	12.54925055178946	0.07736160255764792	1.3345096866124606	-0.6630644538788113	-1.2857561718104087	3년	0.0773616025576479	불리(<1)	5년	38.090190585589355	0.8042258634844904	헐값	N	주당순현금<=0 | FCF<=0	18137000.0	0.44799287408014976	-10.266228293994672		-16.76888241312482	52.73999992370605	53.14924989700317	N	N	중립/개선	단기위험부채 존재
PH	Parker-Hannifin Corp	0000076334	Dividend Kings	제외	PEG=헐값, PEGY=안심	867.2349853515625	27.12	2025	91.0	467000000.0	8390000.0	475390000.0	8796284000.0	1800000000.0	13682000000.0	15803000000.0	46.40325589282686	53.596744107173144	0.8657849775359109	-63.90855606758833	-77.73344086021505	34.3342013797622	34.84396851813339	24.175824175824182	39.03778474522208	64.23010312898325	56.851648351648365	86.57556949044417	136.9602062579665	1541.8167032967037	2347.929444580846	3714.3607937160514	77.78534415002609	170.73739923315418	328.29923336295195	3년	86.57556949044417	2347.929444580846	170.73739923315418	3.354550842813921	3.787412536756163	4.521150831849009	25.6605222734255	2.9588891946077513	3년	3.787412536756163	안심	3년	39.03778474522208	0.8795120318389591	헐값	N	주당순현금<=0	130200000.0	-10.068651811886431	12.215489328068351		-15.227955583026475	944.7944934082032	853.4276733398438	N	Y	중립/개선	단기위험부채 존재
