티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	Dow 30	제외	PEG=매우 유망, PEGY=안심	232.1999969482422	11.17	2025	2.91	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	24.623074022401454	25.229300357736378	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	650.1213289607173	746.7832786728591	60.05724962697811	3년	176.02781980632085	1966.230747236604	746.7832786728591	3.111997783817657	3.520027995867075	0.6212144701116731	12.756736597321586	5.493857349259606	3년	3.520027995867075	안심	3년	83.76390990316042	0.2939580309809824	매우 유망	N	주당순현금<=0	948675228.0	단기위험부채 존재
DIS	Walt Disney Co	0001744489	Dow 30	제외	PEG=매우 유망, PEGY=안심	103.08000183105469	6.85	2025	1.46	5695000000.0		5695000000.0	35315000000.0	6711000000.0	109869000000.0					-16.35560463832137	-20.06129210381005	17.435854959033	17.976831231367115	151.8382352941176	58.50904212609995		312.1764705882352	125.51808425219991		2138.408823529411	859.7988771275693		1974.5137616840605	734.1083254313055		3년	125.51808425219991	859.7988771275693	734.1083254313055	8.792126090421412	3.4394093244639987		5.564329099944782	5.398068491563054	3년	3.4394093244639987	안심	3년	58.509042126099956	0.2980027415498423	매우 유망	N	주당순현금<=0	1811000000.0	단기위험부채 존재
CRM	Salesforce, Inc.	0001108524	Dow 30	제외	PEG=매우 유망, PEGY=안심	183.82000732421875	7.8	2025	96.0	7327000000.0	57139000.0	7384139000.0	10439000000.0	4000000000.0	59142000000.0	53163000000.0	52.66194737545078	47.33805262454922	1.1124654364877828	-3.19546129707113	-7.379561715481172	23.9763421309346	24.51276526149999	85.7142857142857	74.02472751880647	12.233911375838758	179.9285714285714	156.54945503761294	32.96782275167752	1403.4428571428568	1221.085749293381	257.14901746308465	663.4875428263296	564.283375388866	39.89174584762658	3년	156.54945503761294	1221.085749293381	564.283375388866	7.578899430194378	7.091353910046114	4.514196151555324	15.064853556485355	8.1954373605884	3년	7.091353910046114	안심	3년	74.02472751880647	0.3238963915786553	매우 유망	N	주당순현금<=0	956000000.0	단기위험부채 존재
TRV	TRAVELERS COMPANIES, INC.	0000086312	Dow 30	제외	PEG=매우 유망, PEGY=안심	304.7200012207031	27.43	2025	1.64	842000000.0		842000000.0	5861000000.0	100000000.0	32894000000.0	110814000000.0	22.88947031480502	77.11052968519499	0.29683974949013664	-22.051845342706503	-22.491212653778557	11.912936440518031	11.928954206142242	27.759664648346536	32.58155699339016	40.000996302713745	64.01932929669307	73.66311398678032	88.50199260542749	1756.0502026082909	2020.579216657384	2427.609657166876	476.28320936386973	563.0937281973544	696.6689575485407	3년	73.66311398678032	2020.579216657384	563.0937281973544	2.467877235402097	2.872638258775268	3.4954435046833			3년	2.872638258775268	안심	3년	32.58155699339016	0.36563435083642	매우 유망	N	주당순현금<=0 | FCF<=0	227600000.0	단기위험부채 존재
JPM	JPMORGAN CHASE & CO	0000019617	Dow 30	제외	PEG=헐값, PEGY=보통	312.4700012207031	20.02	2025	1.92	278793000000.0		278793000000.0	267889000000.0	64776000000.0	362438000000.0	4062462000000.0	8.19087437004226	91.80912562995775	0.08921634220824712	3.9201869494876864	-19.367966924321408	15.412078634925846	16.57532308416706	1.3670886075949347	18.30758541328956	17.65495483894246	11.23417721518987	45.115170826579124	43.80990967788492	224.9082278481012	903.205719948114	877.074391751256	-28.022457525692356	189.05357839780717	180.69075057600895	3년	45.115170826579124	903.205719948114	189.05357839780717	0.21328003090679468	1.3124501822519337	1.2701047861631705			3년	1.3124501822519337	보통	3년	18.307585413289562	0.8418411432748606	헐값	N	FCF<=0	2781500000.0	단기위험부채 존재
BA	BOEING CO	0000012927	Dow 30	제외	PEG=헐값, PEGY=보통	227.3800048828125	2.48	2025	3.615093598153645	10921000000.0	18479000000.0	29400000000.0	53848000000.0	6109000000.0	5454000000.0	162778000000.0	3.2419515906605163	96.75804840933948	0.03350575630613473	-32.07136298045389	-40.08526826708645	104.61748704163968	107.84890046366894	113.50762527233115			235.5152505446623			584.0778213507625			156.87299182343915			1년	235.5152505446623	584.0778213507625	156.87299182343915	1.119532902026865			-2.462285189557917	-1.0828943340145205	1년	1.119532902026865	보통	1년	113.50762527233115	0.9216780528236586	헐값	N	주당순현금<=0 | FCF<=0	762300000.0	단기위험부채 존재
NVDA	NVIDIA CORP	0001045810	Dow 30	보류	PEG=헐값, PEGY=보통	198.4499969482422	4.9	2026	2.0	10605000000.0	34621000000.0	45226000000.0	7469000000.0	0.0	157293000000.0	49510000000.0	76.05934149891442	23.940658501085572	3.1769945465562515	1.5402219140083218	1.5402219140083218	40.18566837433344	40.18566837433344	66.66666666666669	41.21547046890686	-6.616661124591561	141.83333333333337	90.93094093781372	-4.7333222491831215	694.9833333333336	445.5616105952872	-23.1932790209973	250.20576670232572	124.52084527443672	-111.68721560980741	3년	90.93094093781372	445.5616105952872	124.52084527443672	1.708735214430925	1.0753950902682647	-0.11488327334976514	4.184517622583014	2.1086004973204306	3년	1.0753950902682647	보통	3년	41.21547046890686	0.975014185623568	헐값	Y		24514000000.0	
CSCO	CISCO SYSTEMS, INC.	0000858877	Dow 30	제외	PEG=보통, PEGY=불리(<1)	91.8499984741211	2.55	2025	1.83	8346000000.0	7764000000.0	16110000000.0	22861000000.0	31000000.0	46843000000.0	75448000000.0	38.30453590206965	61.69546409793034	0.6208647015162762	-1.6885942971485743	-1.6963481740870434	36.68180108677242	36.684841822826726	0.3937007874015664	-3.299135343193793	32.687404272277206	9.287401574803132	1.9017293136124138	73.87480854455441	23.682874015747984	4.849409749711655	188.38076178861374	-74.21570559696778	-94.720294142326	105.09609680798238	5년	73.87480854455441	188.38076178861374	105.09609680798238	0.06062136322426765	-0.04005079629864653	0.9409953505452135	3.3236618309154577	3.618575815057749	5년	0.9409953505452135	불리(<1)	5년	32.687404272277206	1.1221998780087574	보통	N	주당순현금<=0	3998000000.0	단기위험부채 존재
GS	GOLDMAN SACHS GROUP INC	0000886982	Dow 30	제외	PEG=보통, PEGY=불리(<1)	923.7100219726562	51.32	2025	1.95	164259000000.0		164259000000.0	236027000000.0	69709000000.0	124972000000.0	1684348000000.0	6.907125328852828	93.09287467114717	0.07419606874588862	-225.9697732997481	-445.4565491183879	22.402178395798995	26.679005672078024	26.591021213616184	19.517790861873507	15.71173099479697	61.68204242723237	47.535581723747015	39.92346198959394	3165.522417365565	2439.526054062697	2048.872069305961	242.6965543369704	164.10085373469207	121.80901154784824	3년	47.535581723747015	2439.526054062697	164.10085373469207	1.274028833685584	0.9582903270647684	0.7883934625799165	-148.6712846347607	-16.095016953184217	3년	0.9582903270647684	불리(<1)	3년	19.517790861873507	1.147782479807175	보통	N	주당순현금<=0 | FCF<=0	317600000.0	단기위험부채 존재
JNJ	JOHNSON & JOHNSON	0000200406	Dow 30	제외	PEG=보통, PEGY=불리(<1)	227.19000244140625	11.03	2025	2.36	19709000000.0	393000000.0	20102000000.0	39438000000.0	8495000000.0	81544000000.0	117666000000.0	40.933688067868076	59.066311932131924	0.693012424999575	-7.959166872478801	-11.455915040750803	21.319054334894386	21.6360759276661	90.50086355785837	17.90172233284293	14.890675456717407	189.50172711571673	44.30344466568586	38.281350913434814	2090.2040500863554	488.666994662515	422.24330057518597	820.024661131571	115.0917687447736	85.85470136789368	3년	44.30344466568586	488.666994662515	115.09176874477359	4.355768417263541	0.9504043666551922	0.8091670102121753	8.108174857989628	3.5688959773134283	3년	0.9504043666551922	불리(<1)	3년	17.90172233284293	1.1908940345802337	보통	N	주당순현금<=0	2429400000.0	단기위험부채 존재
