티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
DIS	Walt Disney Co	0001744489	Dow 30	제외	PEG=매우 유망, PEGY=안심	103.52999877929688	6.85	2025	1.45	5695000000.0		5695000000.0	35315000000.0	6711000000.0	109869000000.0					-16.35560463832137	-20.06129210381005	17.501547944177847	18.04252421651196	151.8382352941176	58.50904212609996		312.1764705882352	125.51808425219991		2138.408823529411	859.7988771275693		1965.4968113039654	730.4828429105568		3년	125.51808425219991	859.7988771275693	730.4828429105568	8.758553002456631	3.425927941765073		5.564329099944782	5.374605588286255	3년	3.425927941765073	안심	3년	58.509042126099956	0.2991255250164262	매우 유망	N	주당순현금<=0	1811000000.0	-2.477397128944525	-5.847581264743528		-12.89752797605117	98.9654005432129	104.35025024414062	Y	N	주의	단기위험부채 존재
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	Dow 30	제외	PEG=매우 유망, PEGY=안심	238.4199981689453	11.17	2025	2.86	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	25.179922833565563	25.78614916890049	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	630.5518481384544	724.6920402387241	55.88160875914816	3년	176.02781980632085	1966.230747236604	724.6920402387241	3.0411908842870705	3.4401975921740418	0.6054907309335748	12.756736597321586	5.3505312873470094	3년	3.4401975921740418	안심	3년	83.76390990316042	0.3006058678812403	매우 유망	N	주당순현금<=0	948675228.0	8.758323529481359	-18.282153074894836		-27.5825440534198	257.2997985839844	268.8678498077393	N	N	중립/개선	단기위험부채 존재
CRM	Salesforce, Inc.	0001108524	Dow 30	제외	PEG=매우 유망, PEGY=안심	197.47000122070312	7.8	2025	89.0	7327000000.0	57139000.0	7384139000.0	10439000000.0	4000000000.0	59142000000.0	53163000000.0	52.66194737545078	47.33805262454922	1.1124654364877828	-3.19546129707113	-7.379561715481172	25.726341348432594	26.262764478997987	85.7142857142857	74.02472751880647	12.233911375838758	179.9285714285714	156.54945503761294	32.96782275167752	1403.4428571428568	1221.085749293381	257.14901746308465	610.7119301499844	518.3651905327279	30.221813882343085	3년	156.54945503761294	1221.085749293381	518.3651905327279	6.791260496313455	6.336879593986221	3.935029470562729	15.064853556485355	7.6289327307230135	3년	6.336879593986221	안심	3년	74.02472751880647	0.3475371299664243	매우 유망	N	주당순현금<=0	956000000.0	15.270564494148564	2.0780585866519763		-25.82729479328162	172.70660034179687	203.07520072937012	Y	N	중립/개선	단기위험부채 존재
TRV	TRAVELERS COMPANIES, INC.	0000086312	Dow 30	제외	PEG=매우 유망, PEGY=안심	375.6099853515625	27.43	2025	1.33	842000000.0		842000000.0	5861000000.0	100000000.0	32894000000.0	110814000000.0	22.88947031480502	77.11052968519499	0.29683974949013664	-22.051845342706503	-22.491212653778557	14.497332507993766	14.513350273617975	27.759664648346536	32.58155699339016	40.000996302713745	64.01932929669307	73.66311398678032	88.50199260542749	1756.0502026082909	2020.579216657384	2427.609657166876	367.5195737846712	437.9460864881341	546.3112674959074	3년	73.66311398678032	2020.579216657384	437.9460864881341	2.0065529042881938	2.3391583917035406	2.8509380108322695			3년	2.339158391703541	안심	3년	32.58155699339016	0.4449551785058906	매우 유망	N	주당순현금<=0 | FCF<=0	227600000.0	25.93374004336677	25.786143725014952		-5.440314133913338	340.08359985351564	304.1875001525879	Y	Y	강한 상승추세	단기위험부채 존재
BA	BOEING CO	0000012927	Dow 30	제외	PEG=헐값, PEGY=보통	233.24000549316406	2.48	2025	3.5242667665950287	10921000000.0	18479000000.0	29400000000.0	53848000000.0	6109000000.0	5454000000.0	162778000000.0	3.2419515906605163	96.75804840933948	0.03350575630613473	-32.07136298045389	-40.08526826708645	106.98039051355563	110.2118039355849	113.50762527233115			235.5152505446623			584.0778213507625			150.41922808901708			1년	235.5152505446623	584.0778213507625	150.41922808901708	1.0939564856430106			-2.462285189557917	-1.0556873313185045	1년	1.0939564856430106	보통	1년	113.50762527233115	0.9424951870580044	헐값	N	주당순현금<=0 | FCF<=0	762300000.0	-1.5324818249890848	-3.854235947843232		-7.499499845747948	220.49359954833983	219.07550033569336	Y	Y	중립/개선	단기위험부채 존재
JPM	JPMORGAN CHASE & CO	0000019617	Dow 30	제외	PEG=헐값, PEGY=보통	362.0400085449219	20.02	2025	1.67	278793000000.0		278793000000.0	267889000000.0	64776000000.0	362438000000.0	4062462000000.0	8.19087437004226	91.80912562995775	0.08921634220824712	3.9201869494876864	-19.367966924321408	17.888102976794915	19.05134742603613	1.3670886075949347	18.30758541328956	17.65495483894246	11.23417721518987	45.115170826579124	43.80990967788492	224.9082278481012	903.205719948114	877.074391751256	-37.87752111927303	149.4767701443263	142.25896891238992	3년	45.115170826579124	903.205719948114	149.4767701443263	0.16978259860952022	1.1168084977599466	1.0803244404401897			3년	1.1168084977599466	보통	3년	18.307585413289562	0.9770869600209462	헐값	N	FCF<=0	2781500000.0	18.748360911395334	13.748903460304863		0.0	335.5188006591797	313.89085083007814	Y	Y	강한 상승추세	단기위험부채 존재
NVDA	NVIDIA CORP	0001045810	Dow 30	보류	PEG=보통, PEGY=양호	217.5	4.9	2026	46.0	10605000000.0	34621000000.0	45226000000.0	7469000000.0	0.0	157293000000.0	49510000000.0	76.05934149891442	23.940658501085572	3.1769945465562515	1.5402219140083218	1.5402219140083218	44.07342409918197	44.07342409918197	66.66666666666669	41.21547046890686	-6.616661124591561	141.83333333333337	90.93094093781372	-4.7333222491831215	694.9833333333336	445.5616105952872	-23.1932790209973	219.53256704980853	104.85591291737344	-110.66357656137806	3년	90.93094093781372	445.5616105952872	104.85591291737344	2.556340220199906	1.9788675886093823	0.8935847323044597	4.184517622583014	1.9239161483140297	3년	1.9788675886093825	양호	3년	41.21547046890686	1.0693417689464728	보통	Y		24514000000.0	-1.4856412706912514	15.360139888154546		-7.737339894858442	206.26719940185546	194.3465502166748	Y	Y	강한 상승추세	
MSFT	MICROSOFT CORP	0000789019	Dow 30	보류	PEG=보통, PEGY=안심	503.80999755859375	17.95	2026	72.0	20935000000.0	55908000000.0	76843000000.0	31067000000.0	0.0	442387000000.0	315989000000.0	58.33346519404623	41.66653480595377	1.4000075952010989	6.141956259224473	6.141956259224473	27.725239069602747	27.725239069602747	31.5982404692082	22.855998285745223	17.396112163192925	71.6964809384164	54.21199657149045	43.29222432638585	1286.9518328445743	973.1053384582535	777.0954266586259	155.44388540938	93.14927118830748	54.24374871962494	3년	54.21199657149045	973.1053384582535	93.14927118830747	3.736604045473884	3.421286938143771	3.2243585686950693	8.987924325774856	1.7839908634861	3년	3.421286938143771	안심	3년	22.855998285745226	1.213039952269088	보통	Y		7453000000.0	23.552495556925802	21.908198260659727		-7.058130730103507	409.66479736328125	432.93539962768557	Y	Y	상승전환	
AMZN	AMAZON COM INC	0001018724	Dow 30	보류	PEG=보통, PEGY=판정불가	272.2699890136719	7.17	2025		86810000000.0	36219000000.0	123029000000.0	65648000000.0	455000000.0	411065000000.0					5.29980604045442	5.257781472245313	37.234335142708154	37.240196309822394	29.656419529837247		-12.638188158251552	67.8128390596745		-16.776376316503104	486.2180560578662		-120.28661818932726	78.57937917404882		-144.17916885554624	1년	67.8128390596745	486.2180560578662	78.57937917404882				12.263507896924356	4.504171738262549	판정불가		판정불가	1년	29.656419529837247	1.2555236179218057	보통	Y		10827000000.0	2.42644703624062	31.556812998222927		-4.137032763364545	247.6213995361328	237.08850006103515	Y	Y	강한 상승추세	단기위험부채 존재
GS	GOLDMAN SACHS GROUP INC	0000886982	Dow 30	제외	PEG=보통, PEGY=불리(<1)	1034.4100341796875	51.32	2025	1.93	164259000000.0		164259000000.0	236027000000.0	69709000000.0	124972000000.0	1684348000000.0	6.907125328852828	93.09287467114717	0.07419606874588862	-225.9697732997481	-445.4565491183879	24.559232413862738	28.836059690141767	26.591021213616184	19.517790861873507	15.71173099479697	61.68204242723237	47.535581723747015	39.92346198959394	3165.522417365565	2439.526054062697	2048.872069305961	206.02201378256177	135.8374313332431	98.07155785478885	3년	47.535581723747015	2439.526054062697	135.8374313332431	1.161315660562631	0.8733086808432603	0.7183339730454643	-148.6712846347607	-14.37256791042835	3년	0.8733086808432603	불리(<1)	3년	19.517790861873507	1.258299803890065	보통	N	주당순현금<=0 | FCF<=0	317600000.0	9.357226713304346	9.001153312925458		-10.212913937072122	1055.1771997070311	926.3174508666992	N	Y	상승전환	단기위험부채 존재
