티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
BKNG	Booking Holdings Inc.	0001075531	Nasdaq 100	매우 유망	PEG=매우 유망, PEGY=안심	184.61000061035156	165.57	2025	88.0	17203000000.0	0.0	17203000000.0	16856000000.0	1880000000.0	-5578000000.0	34842000000.0	-19.060962274466924	119.06096227446692	-0.1600941392572183	10.631453169521125	-46.96835074604002	1.0507854529252305	1.3986733789719852	-4.1229949620707655	29.43673092572357	158.29965811243966	0.2540100758584689	67.37346185144713	325.0993162248793	42.05644825988669	11155.024078744102	53826.693787353266	-77.21875948169598	5942.480928369928	29056.976116891394	3년	67.37346185144713	11155.024078744102	5942.480928369928	79.8231502010502	111.76090285490456	234.39576311870138	278.4092649897362	150.80941664550596	3년	111.76090285490456	안심	3년	29.436730925723566	0.0356964044538991	매우 유망	Y		32639000.0	0.02709311466149167	-11.02309386854694		-20.089582670776252	169.37480072021484	186.91378227233886	Y	N	중립/개선	단기위험부채 존재
CMCSA	COMCAST CORP	0001166691	Nasdaq 100	매우 유망	PEG=매우 유망, PEGY=안심	24.100000381469727	5.39	2025	5.62	9481000000.0	14000000.0	9495000000.0		2781000000.0	96903000000.0					2.559989215421947	1.8101914262604475	3.9962914964838183	4.135400548276304	30.193236714975846	64.538600212299	49.1602769351271	68.88647342995169	137.577200424598	106.8205538702542	371.2980917874396	741.5411102885832	575.7627853606701	1440.6559581340396	2976.934018883865	2289.0571628512043	3년	137.577200424598	741.5411102885832	2976.934018883865	8.961617726456272	17.55592660696269	13.707778069574289	5.9026691830682125	24.492402861564774	3년	17.55592660696269	안심	3년	64.538600212299	0.0619209509245329	매우 유망	Y		3709000000.0	-17.887563651667328	-15.200561869201657		-28.151161781703017	24.191399879455567	27.266224718093873	N	N	주의	단기위험부채 존재
DASH	DoorDash, Inc.	0001792789	Nasdaq 100	보류	PEG=매우 유망, PEGY=판정불가	186.36000061035156	2.13	2025		4378000000.0	1128000000.0	5506000000.0			10033000000.0	9613000000.0	51.0689198819098	48.9310801180902	1.0436908353271612	12.52257292704339	12.52257292704339	81.6138158137597	81.6138158137597	634.4827586206897			1277.4655172413793			2721.0015517241377			1360.0780976671647			1년	1277.4655172413793	2721.0015517241377	1360.0780976671647				4.944437621393449	2.6531646303926903	판정불가		판정불가	1년	634.4827586206897	0.1286304705760343	매우 유망	Y		439686000.0	3.9201464939033315	-12.560410856828986		-33.8539053489277	168.9422006225586	195.84089996337892	Y	N	중립/개선	
MRVL	Marvell Technology, Inc.	0001835632	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	188.3000030517578	3.07	2026	12.0	2638800000.0		2638800000.0	3970800000.0	499800000.0	14308400000.0	7976900000.0	64.20555253911772	35.79444746088228	1.7937293936240895	-1.5315626077957916	-2.106243532252501	61.83438620832365	62.02157869186004	400.98039215686276			810.4607843137255			2488.114607843137			1221.3566476465917			1년	810.4607843137255	2488.114607843137	1221.3566476465917	6.6788144506764855			1.6056111302748075	0.8526877877072976	1년	6.6788144506764855	안심	1년	400.98039215686276	0.1542080047249147	매우 유망	N	주당순현금<=0	869700000.0	41.18618125936442	131.86800292399062		-40.492365638458075	235.1536001586914	129.32935020446777	N	Y	상승전환	단기위험부채 존재
MCHP	MICROCHIP TECHNOLOGY INC	0000827054	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	81.68000030517578	0.22	2026	2.11	240300000.0	0.0	240300000.0	5496400000.0	0.0	6432400000.0					-9.64068231841526	-9.64068231841526	415.09401192541384	415.09401192541384	2300.0	-62.033647476478926	-29.795234328396646	4608.5	-115.56729495295785	-51.09046865679329	1013.87	-25.424804889650726	-11.239903104494525	1141.2708082908205	-131.1273320208835	-113.76089992960283	1년	4608.5	1013.87	1141.2708082908205	5.545996651027707	-0.14436162834178948	-0.06669629899014604	1.5975788701393985	1.9558996867904828	1년	5.545996651027707	안심	1년	2300.0	0.1804756573588755	매우 유망	N	주당순현금<=0	545200000.0	6.257314149514093	9.37332615344788		-20.63738655426678	93.02	74.69364999771118	N	Y	상승전환	
PYPL	PayPal Holdings, Inc.	0001633917	Nasdaq 100	매우 유망	PEG=매우 유망, PEGY=안심	56.72999954223633	5.41	2025	1.01	8049000000.0	2373000000.0	10422000000.0	9987000000.0		20256000000.0	59917000000.0	25.26536365110449	74.7346363488955	0.3380676602633643	0.4493801652892562	0.4493801652892562	10.403071973557685	10.403071973557685	35.58897243107769	37.30414865193261	32.59424256515169	79.67794486215539	83.10829730386523	73.68848513030338	431.05768170426063	449.6158884139109	398.6547045549413	659.8407988410643	692.5540138232598	602.7229116371435	3년	83.10829730386523	449.6158884139109	692.5540138232598	3.5180927829879685	3.6829648731950266	3.2302230197547668	5.74793388429752	10.132088719687188	3년	3.682964873195026	안심	3년	37.304148651932614	0.2788717166721545	매우 유망	Y		968000000.0	13.892788552814483	-1.6129037593424878		-27.473793586158703	44.511000061035155	52.89957511901856	Y	Y	상승전환	
NXPI	NXP Semiconductors N.V.	0001413447	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	270.6600036621094	7.95	2025	1.4985590575338537	3267000000.0		3267000000.0	10972000000.0	307000000.0	10056000000.0					-30.295166534948553	-31.502254935497444	37.85599625120226	38.00783127013922	-18.293936279547793	-9.000664080454257	113.31378642177046	-28.087872559095587	-9.501328160908514	235.12757284354092	-223.29858684480993	-75.53555887922269	1869.2642041061504	-182.50150883895458	-127.9079131963365	590.6318550264008	5년	235.12757284354092	1869.2642041061504	590.6318550264008	-0.44366491138059905	-0.19817481418632976	3.0328707958823835	9.526955031042224	3.5198976214216073	5년	3.0328707958823835	안심	5년	113.31378642177046	0.3340811162226696	매우 유망	N	주당순현금<=0	254331000.0	26.63641466925595	12.395667292115874		-18.640095969784596	298.4906005859375	239.29425018310548	N	Y	상승전환	단기위험부채 존재
MELI	MERCADOLIBRE INC	0001099590	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	1857.4200439453125	39.4	2025	0.0323028709610321	3670000000.0	2629000000.0	6299000000.0	9193000000.0		6748000000.0	35919000000.0	15.81550144139499	84.18449855860501	0.18786714552186864	-57.08388530202385	-57.08388530202385	48.59147028546539	48.59147028546539	4.537012470151236	129.72289831422012		17.574024940302472	267.94579662844023		692.4165826479174	10557.064387160544		-62.72159413240919	468.37248104292416		3년	267.94579662844023	10557.064387160544	468.37248104292416	0.0940353381831921	2.6703287721671045		228.947013372699	12.32607638315331	3년	2.6703287721671045	안심	3년	129.72289831422012	0.3745789750069039	매우 유망	N	주당순현금<=0	50697320.0	1.9367464982154026	-11.633479050737272		-26.027787444021268	1687.5982055664062	1914.2799530029297	Y	N	중립/개선	
EXC	EXELON CORP	0001109357	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	46.790000915527344	1.74	2021	3.67	626000000.0		626000000.0	35272000000.0	612000000.0	28798000000.0	87772000000.0	24.704469417517373	75.29553058248263	0.32810007747345393	-34.23517786561265	-34.8399209486166	46.5661947018046	46.913748197783875	-13.432835820895514	121.5523810846817	51.225599028568624	-18.365671641791028	251.6047621693634	110.95119805713725	-31.95626865671639	437.7922861746923	193.0550846194188	-168.29721742132227	835.653510597411	312.59901868339807	3년	251.6047621693634	437.7922861746923	835.653510597411	-0.2096550058129867	2.6891263476985143	1.1788723424815564	-2.2480237154150196	-4.804495985100545	3년	2.6891263476985143	안심	3년	121.5523810846817	0.3830957015096512	매우 유망	N	주당순현금<=0 | FCF<=0	1012000000.0	-1.6810238169689184	7.316519617081374		-6.959633995392023	45.782600021362306	46.15685001373291	Y	Y	중립/개선	단기위험부채 존재
APP	AppLovin Corp	0001751008	Nasdaq 100	제외	PEG=매우 유망, PEGY=판정불가	434.4800109863281	9.75	2025		2487096000.0		2487096000.0	3512987000.0	0.0	2134671000.0	5124939000.0	29.404761412803165	70.59523858719683	0.41652612840855274	-2.9999444395707227	-2.9999444395707227	44.8697390180409	44.8697390180409	115.23178807947019			238.96357615894038			2329.8948675496686			436.24903531476474			1년	238.96357615894038	2329.8948675496686	436.24903531476474				11.598438459513993	2.6694987493634	판정불가		판정불가	1년	115.23178807947019	0.389386815616332	매우 유망	N	주당순현금<=0	341970000.0	-6.7819488939743096	-29.668479001875237		-40.77426043542296	506.2424005126953	533.2764761352539	N	N	주의	
