티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
BRK-B	BERKSHIRE HATHAWAY INC	0001067983	S&P 500 Growth	제외	PEG=매우 유망, PEGY=판정불가	473.010009765625	3035.0	2013		31583000000.0		31583000000.0			717419000000.0	502473000000.0	58.81004220045709	41.18995779954291	1.4277762188217078	19217.429611745007	19217.429611745007	-6.176085536072284	-6.176085536072284	10.08342401160682	4.546670945333653		28.66684802321364	17.593341890667304		87003.88375045339	53395.79263817527		18293.666508994927	11188.512195467643		3년	17.593341890667304	53395.79263817527	11188.512195467643				15237.402157404884	3221.3699166651822	판정불가		판정불가	3년	4.546670945333653	-1.3583753058731762	매우 유망	N	순현금차감PER<=0/불가	1643456.0	
BKNG	Booking Holdings Inc.	0001075531	S&P 500 Growth	매우 유망	PEG=매우 유망, PEGY=안심	169.6300048828125	165.57	2025	95.0	17203000000.0	0.0	17203000000.0	16856000000.0	1880000000.0	-5578000000.0	34842000000.0	-19.060962274466924	119.06096227446692	-0.1600941392572183	10.631453169521125	-46.96835074604002	0.9603101510738139	1.3081980771205686	-4.1229949620707655	29.43673092572357	158.29965811243966	0.2540100758584689	67.37346185144713	325.0993162248793	42.05644825988669	11155.024078744102	53826.693787353266	-75.20695216100415	6476.091350377817	31631.823520572907	3년	67.37346185144713	11155.024078744102	6476.091350377817	94.63297345790944	129.57973086776084	263.7685937498435	278.4092649897362	164.1273695547394	3년	129.57973086776084	안심	3년	29.436730925723566	0.0326228531794825	매우 유망	Y		32639000.0	단기위험부채 존재
PGR	PROGRESSIVE CORP/OH/	0000080661	S&P 500 Growth	매우 유망	PEG=매우 유망, PEGY=안심	199.30999755859375	19.23	2025	6.97	138000000.0	10005000000.0	10143000000.0	2707900000.0	0.0	30323000000.0	92716000000.0	24.645031250253986	75.35496874974602	0.3270525044221062	12.642577792892364	12.642577792892364	9.707094111580936	9.707094111580936	33.541666666666664	153.53179173781882	14.762613935523516	75.58333333333333	315.56358347563764	38.025227871047036	1453.4675	6068.287710236512	731.2251319602345	629.2496702643857	2944.647927634708	266.8783005956672	3년	315.56358347563764	6068.287710236512	2944.647927634708	4.173408251840753	16.53448394471977	2.238838285249102	29.246726747151843	14.673988814110443	3년	16.53448394471977	안심	3년	153.53179173781882	0.0632253033831417	매우 유망	Y		588100000.0	
CVNA	CARVANA CO.	0001690820	S&P 500 Growth	제외	PEG=매우 유망, PEGY=판정불가	382.6000061035156	8.45	2025		2327000000.0		2327000000.0	4830000000.0	211000000.0	3441000000.0	8998000000.0	27.662995417638076	72.33700458236193	0.3824183151811514	-11.160306228458557	-12.101107113078916	46.598853530411155	46.71019091320646	431.4465408805031			871.3930817610062			7363.271540880502			1824.5351341913747			1년	871.3930817610062	7363.271540880502	1824.5351341913747				3.9638482769075742	1.0360293292402933	판정불가		판정불가	1년	431.4465408805031	0.1080060890865215	매우 유망	N	주당순현금<=0	224277000.0	단기위험부채 존재
DASH	DoorDash, Inc.	0001792789	S&P 500 Growth	보류	PEG=매우 유망, PEGY=판정불가	175.83999633789062	2.13	2025		4378000000.0	1128000000.0	5506000000.0			10033000000.0	9613000000.0	51.0689198819098	48.9310801180902	1.0436908353271612	12.52257292704339	12.52257292704339	76.67484667175927	76.67484667175927	634.4827586206897			1277.4655172413793			2721.0015517241377			1447.4303960377226			1년	1277.4655172413793	2721.0015517241377	1447.4303960377226				4.944437621393449	2.811895885104727	판정불가		판정불가	1년	634.4827586206897	0.120846225732664	매우 유망	Y		439686000.0	
PODD	INSULET CORP	0001145197	S&P 500 Growth	제외	PEG=매우 유망, PEGY=판정불가	175.0399932861328	3.48	2025		907200000.0	0.0	907200000.0	1374300000.0	18400000.0	1515200000.0	1675200000.0	47.492477432296894	52.50752256770311	0.9044890162368673	-6.49778816459394	-6.753748991458698	52.16602915250769	52.239581114250434	-39.7923875432526	267.70008870907657	103.38356182130251	-71.0847750865052	543.9001774181531	215.26712364260501	-247.3750173010381	1892.7726174151728	749.1295902762654	-241.3248553412941	981.3372314983536	327.9762448640437	3년	543.9001774181531	1892.7726174151728	981.3372314983537				5.2541524079793005	3.0016868198746383	판정불가		판정불가	3년	267.70008870907657	0.1948674331938649	매우 유망	N	주당순현금<=0	71886000.0	단기위험부채 존재
INCY	INCYTE CORP	0000879169	S&P 500 Growth	보류	PEG=매우 유망, PEGY=판정불가	96.91000366210938	6.41	2025		3097817000.0	284870000.0	3382687000.0	316153000.0	689118000.0	5167478000.0	1790495000.0	74.26700276071782	25.732997239282184	2.8860611171770936	15.279192825112107	11.845620328849028	12.734915887207062	13.270574622973534	4173.333333333333	61.56160063417288	56.62815181550294	8355.166666666666	131.62320126834578	121.75630363100588	53556.61833333333	843.7047201300965	780.4579062747476	55164.28264316877	770.6064268367938	705.3429747004509	3년	131.62320126834578	843.7047201300965	770.6064268367938				6.800189337319382	7.017014838869697	판정불가		판정불가	3년	61.56160063417288	0.2068645999457314	매우 유망	Y		200700000.0	단기위험부채 존재
GEV	GE Vernova Inc.	0001996810	S&P 500 Growth	제외	PEG=매우 유망, PEGY=안심	1062.949951171875	17.69	2025	14.000000000000002	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	58.27540871438	58.28831209875339	217.02508960573476			442.5501792114695			7828.712670250897			636.5081170209324			1년	442.5501792114695	7828.712670250897	636.5081170209324	3.9643666977616094					1년	3.9643666977616094	안심	1년	217.02508960573476	0.268519224299125	매우 유망	N	FCF<=0	276000000.0	단기위험부채 존재
STE	STERIS plc	0001757898	S&P 500 Growth	제외	PEG=매우 유망, PEGY=안심	214.39999389648438	6.2	2025	1.15	220531000.0		220531000.0	1918701000.0	125000000.0	6603405000.0	3531054000.0	65.15794281668119	34.842057183318815	1.8700945949849535	-17.141285366764578	-18.403032230061875	37.34536762310467	37.54887518170101	62100.0	128.45260536482033	33.90778905344143	124208.5	265.40521072964066	76.31557810688285	770092.7000000001	1645.5123065237722	473.1565842626737	359085.0382103148	667.4964334738978	120.68871162893826	3년	265.40521072964066	1645.5123065237722	667.4964334738978	1662.8876337952966	3.4703796913392373	0.9387453192923457	7.8530721012627565	3.6628135843391583	3년	3.4703796913392373	안심	3년	128.45260536482033	0.290732659855668	매우 유망	N	주당순현금<=0	99069000.0	단기위험부채 존재
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	S&P 500 Growth	제외	PEG=매우 유망, PEGY=안심	232.1999969482422	11.17	2025	2.91	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	24.623074022401454	25.229300357736378	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	650.1213289607173	746.7832786728591	60.05724962697811	3년	176.02781980632085	1966.230747236604	746.7832786728591	3.111997783817657	3.520027995867075	0.6212144701116731	12.756736597321586	5.493857349259606	3년	3.520027995867075	안심	3년	83.76390990316042	0.2939580309809824	매우 유망	N	주당순현금<=0	948675228.0	단기위험부채 존재
