티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
BRK-B	BERKSHIRE HATHAWAY INC	0001067983	S&P 500 Growth	제외	PEG=매우 유망, PEGY=판정불가	476.614990234375	3035.0	2013		31583000000.0		31583000000.0			717419000000.0	502473000000.0	58.81004220045709	41.18995779954291	1.4277762188217078	19217.429611745007	19217.429611745007	-6.17489773361141	-6.17489773361141	10.08342401160682	4.546670945333653		28.66684802321364	17.593341890667304		87003.88375045339	53395.79263817527		18154.5420377293	11103.129094181017		3년	17.593341890667304	53395.79263817527	11103.129094181015				15237.402157404884	3197.0043892056156	판정불가		판정불가	3년	4.546670945333653	-1.358114059243465	매우 유망	N	순현금차감PER<=0/불가	1643456.0	-3.5615894606249476	-0.29003010027267573		-8.117203948499718	482.0375012207031	489.9138249206543	N	N	주의	
BKNG	Booking Holdings Inc.	0001075531	S&P 500 Growth	매우 유망	PEG=매우 유망, PEGY=안심	166.02999877929688	165.57	2025	95.0	17203000000.0	0.0	17203000000.0	16856000000.0	1880000000.0	-5578000000.0	34842000000.0	-19.060962274466924	119.06096227446692	-0.1600941392572183	10.631453169521125	-46.96835074604002	0.9385670448135275	1.2864549708602822	-4.1229949620707655	29.43673092572357	158.29965811243966	0.2540100758584689	67.37346185144713	325.0993162248793	42.05644825988669	11155.024078744102	53826.693787353266	-74.66936784370384	6618.679853495897	32319.86037650034	3년	67.37346185144713	11155.024078744102	6618.679853495897	96.82526734782648	132.58161109891344	269.87913065151855	278.4092649897362	167.6861212050147	3년	132.58161109891344	안심	3년	29.436730925723566	0.0318842145611132	매우 유망	Y		32639000.0	-10.62278014840281	-18.24610954961956		-28.622639844917565	173.853720703125	200.12755584716797	N	N	주의	단기위험부채 존재
PGR	PROGRESSIVE CORP/OH/	0000080661	S&P 500 Growth	매우 유망	PEG=매우 유망, PEGY=안심	200.6300048828125	19.23	2025	6.97	138000000.0	10005000000.0	10143000000.0	2707900000.0	0.0	30323000000.0	92716000000.0	24.645031250253986	75.35496874974602	0.3270525044221062	12.642577792892364	12.642577792892364	9.775737238165375	9.775737238165375	33.541666666666664	153.53179173781882	14.762613935523516	75.58333333333333	315.56358347563764	38.025227871047036	1453.4675	6068.287710236512	731.2251319602345	624.4517094284909	2924.616240118712	264.4644939261908	3년	315.56358347563764	6068.287710236512	2924.616240118712	4.144103475746607	16.418382350868136	2.22311764382101	29.246726747151843	14.577444068864368	3년	16.418382350868136	안심	3년	153.53179173781882	0.0636723972769045	매우 유망	Y		588100000.0	-0.21638440095267386	-2.6237858151926585		-30.527461382167097	203.25370056152343	222.03817489624024	N	N	주의	
CVNA	CARVANA CO.	0001690820	S&P 500 Growth	제외	PEG=매우 유망, PEGY=판정불가	370.04998779296875	8.45	2025		2327000000.0		2327000000.0	4830000000.0	211000000.0	3441000000.0	8998000000.0	27.662995417638076	72.33700458236193	0.3824183151811514	-11.160306228458557	-12.101107113078916	45.113644262890816	45.224981645686114	431.4465408805031			871.3930817610062			7363.271540880502			1889.8045625662928			1년	871.3930817610062	7363.271540880502	1889.8045625662928				3.9638482769075742	1.0711656283380886	판정불가		판정불가	1년	431.4465408805031	0.1045636944285661	매우 유망	N	주당순현금<=0	224277000.0	-9.537963136763317	21.10001659581173		-22.411956996654514	338.9079998779297	368.2632002258301	Y	Y	중립/개선	단기위험부채 존재
DASH	DoorDash, Inc.	0001792789	S&P 500 Growth	보류	PEG=매우 유망, PEGY=판정불가	173.5	2.13	2025		4378000000.0	1128000000.0	5506000000.0			10033000000.0	9613000000.0	51.0689198819098	48.9310801180902	1.0436908353271612	12.52257292704339	12.52257292704339	75.57625684176367	75.57625684176367	634.4827586206897			1277.4655172413793			2721.0015517241377			1468.300606181059			1년	1277.4655172413793	2721.0015517241377	1468.300606181059				4.944437621393449	2.849819954693631	판정불가		판정불가	1년	634.4827586206897	0.1191147526310405	매우 유망	Y		439686000.0	-13.970297634011452	-31.682194395908624		-38.31901582919342	167.34349975585937	216.76509963989258	Y	N	주의	
PODD	INSULET CORP	0001145197	S&P 500 Growth	제외	PEG=매우 유망, PEGY=판정불가	173.90499877929688	3.48	2025		907200000.0	0.0	907200000.0	1374300000.0	18400000.0	1515200000.0	1675200000.0	47.492477432296894	52.50752256770311	0.9044890162368673	-6.49778816459394	-6.753748991458698	51.83988130571575	51.9134332674585	-39.7923875432526	267.70008870907657	103.38356182130251	-71.0847750865052	543.9001774181531	215.26712364260501	-247.3750173010381	1892.7726174151728	749.1295902762654	-242.24721488022442	988.3946009035046	330.7694405190658	3년	543.9001774181531	1892.7726174151728	988.3946009035046				5.2541524079793005	3.0212773898738554	판정불가		판정불가	3년	267.70008870907657	0.1936491002139816	매우 유망	N	주당순현금<=0	71886000.0	-30.727053780641032	-44.40193894495624		-50.6752755724619	214.4285498046875	281.49813819885253	N	N	주의	단기위험부채 존재
INCY	INCYTE CORP	0000879169	S&P 500 Growth	보류	PEG=매우 유망, PEGY=판정불가	96.87000274658203	6.41	2025		3097817000.0	284870000.0	3382687000.0	316153000.0	689118000.0	5167478000.0	1790495000.0	74.26700276071782	25.732997239282184	2.8860611171770936	15.279192825112107	11.845620328849028	12.7286754947691	13.264334230535571	4173.333333333333	61.56160063417288	56.62815181550294	8355.166666666666	131.62320126834578	121.75630363100588	53556.61833333333	843.7047201300965	780.4579062747476	55187.10314321017	770.9659298113996	705.6755281781856	3년	131.62320126834578	843.7047201300965	770.9659298113996				6.800189337319382	7.0199124027167645	판정불가		판정불가	3년	61.56160063417288	0.2067632316841255	매우 유망	Y		200700000.0	-3.938761936426849	3.7066711740052716		-12.322510660762697	95.64390029907227	93.63202507019042	Y	Y	강한 상승추세	단기위험부채 존재
GEV	GE Vernova Inc.	0001996810	S&P 500 Growth	제외	PEG=매우 유망, PEGY=안심	1072.969970703125	17.69	2025	14.000000000000002	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	58.84183152564342	58.854734910016816	217.02508960573476			442.5501792114695			7828.712670250897			629.630174563104			1년	442.5501792114695	7828.712670250897	629.630174563104	3.926204939848846					1년	3.926204939848846	안심	1년	217.02508960573476	0.2711291659067632	매우 유망	N	FCF<=0	276000000.0	37.61999734660366	83.50822066783812		-6.589649514970342	927.8717993164063	711.2016497802734	Y	Y	강한 상승추세	단기위험부채 존재
STE	STERIS plc	0001757898	S&P 500 Growth	제외	PEG=매우 유망, PEGY=안심	213.32000732421875	6.2	2025	1.15	220531000.0		220531000.0	1918701000.0	125000000.0	6603405000.0	3531054000.0	65.15794281668119	34.842057183318815	1.8700945949849535	-17.141285366764578	-18.403032230061875	37.17117624048118	37.37468379907752	62100.0	128.45260536482033	33.90778905344143	124208.5	265.40521072964066	76.31557810688285	770092.7000000001	1645.5123065237722	473.1565842626737	360903.50344989396	671.3820785796274	121.8060041332818	3년	265.40521072964066	1645.5123065237722	671.3820785796274	1670.6802496168764	3.486642567519209	0.943144462974024	7.8530721012627565	3.6813575059216577	3년	3.486642567519209	안심	3년	128.45260536482033	0.2893765847326391	매우 유망	N	주당순현금<=0	99069000.0	-18.54626497028423	-9.57148826927976		-20.66257054456697	225.53360107421875	243.05725021362304	N	N	주의	단기위험부채 존재
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	S&P 500 Growth	제외	PEG=매우 유망, PEGY=안심	230.3699951171875	11.17	2025	2.91	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	24.45924216644311	25.065468501778035	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	656.0801058613852	753.5099140130628	61.328704530390986	3년	176.02781980632085	1966.230747236604	753.5099140130628	3.1328424350620274	3.543605697729785	0.6253754624635213	12.756736597321586	5.537499182926287	3년	3.543605697729785	안심	3년	83.76390990316042	0.2920021545641849	매우 유망	N	주당순현금<=0	948675228.0	-21.584381918197415	-24.925994303107522		-26.730269981441225	242.65369964599608	272.5306748962402	N	N	주의	단기위험부채 존재
