티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
BRK-B	BERKSHIRE HATHAWAY INC	0001067983	S&P 500	제외	PEG=매우 유망, PEGY=판정불가	473.010009765625	3035.0	2013		31583000000.0		31583000000.0			717419000000.0	502473000000.0	58.81004220045709	41.18995779954291	1.4277762188217078	19217.429611745007	19217.429611745007	-6.176085536072284	-6.176085536072284	10.08342401160682	4.546670945333653		28.66684802321364	17.593341890667304		87003.88375045339	53395.79263817527		18293.666508994927	11188.512195467643		3년	17.593341890667304	53395.79263817527	11188.512195467643				15237.402157404884	3221.3699166651822	판정불가		판정불가	3년	4.546670945333653	-1.3583753058731762	매우 유망	N	순현금차감PER<=0/불가	1643456.0	
BXP	BXP, Inc.	0001037540	S&P 500	제외	PEG=매우 유망, PEGY=안심	59.369998931884766	1.74	2025	5.19	1478206000.0		1478206000.0	3300000000.0	750000000.0	5147190000.0	18473924000.0	21.790631889757613	78.20936811024238	0.2786192040196766	-11.467271777376329	-16.188142431814892	40.711075120264994	43.424219174540035	1833.3333333333333	-31.442996126467893	-20.67539892344771	3675.1666666666665	-54.385992252935786	-32.85079784689542	6394.79	-94.63162652010827	-57.16038825359803	10671.079863647541	-259.39300694392665	-196.2782369579932	1년	3675.1666666666665	6394.79	10671.079863647541	45.16027464030692	-0.6448612828060584	-0.38037312642081145			1년	45.16027464030692	안심	1년	1833.3333333333333	0.02220604097469	매우 유망	N	주당순현금<=0 | FCF<=0	158869000.0	단기위험부채 존재
BKNG	Booking Holdings Inc.	0001075531	S&P 500	매우 유망	PEG=매우 유망, PEGY=안심	169.6300048828125	165.57	2025	95.0	17203000000.0	0.0	17203000000.0	16856000000.0	1880000000.0	-5578000000.0	34842000000.0	-19.060962274466924	119.06096227446692	-0.1600941392572183	10.631453169521125	-46.96835074604002	0.9603101510738139	1.3081980771205686	-4.1229949620707655	29.43673092572357	158.29965811243966	0.2540100758584689	67.37346185144713	325.0993162248793	42.05644825988669	11155.024078744102	53826.693787353266	-75.20695216100415	6476.091350377817	31631.823520572907	3년	67.37346185144713	11155.024078744102	6476.091350377817	94.63297345790944	129.57973086776084	263.7685937498435	278.4092649897362	164.1273695547394	3년	129.57973086776084	안심	3년	29.436730925723566	0.0326228531794825	매우 유망	Y		32639000.0	단기위험부채 존재
EQT	EQT Corp	0000033213	S&P 500	제외	PEG=매우 유망, PEGY=안심	58.65999984741211	3.31	2025	1.13	110795000.0		110795000.0	7293209000.0	53650000.0	23752677000.0	14432726000.0	62.20355196984565	37.79644803015435	1.6457512600183777	-11.665122125911742	-11.75225631255918	21.246260414901464	21.272584942589514	635.5555555555555	-8.914070517873663		1279.611111111111	-9.328141035747326		4235.512777777778	-30.876146828323648		7120.444576875728	-152.63577720531788		1년	1279.611111111111	4235.512777777778	7120.444576875728	29.96694680015332	-0.36637367545463007		4.608492213143376	7.856277233431816	1년	29.96694680015332	안심	1년	635.5555555555555	0.033429430722747	매우 유망	N	주당순현금<=0	615717000.0	단기위험부채 존재
AIG	AMERICAN INTERNATIONAL GROUP, INC.	0000005272	S&P 500	제외	PEG=매우 유망, PEGY=안심	78.7699966430664	5.43	2025	2.54	1345000000.0	13230000000.0	14575000000.0	9191000000.0	250000000.0	41139000000.0	120092000000.0	25.51556462466895	74.48443537533105	0.3425623688505479	9.439817854436424	9.001490502354494	12.767988727187841	12.848711996447866	350.2304147465438	-25.267844119025785		708.9608294930875	-42.03568823805157		3849.6573041474653	-228.25378713262		4787.212730999049	-389.7724982354835		1년	708.9608294930875	3849.6573041474653	4787.212730999049	27.62928620036789	-1.7800645508583253				1년	27.62928620036789	안심	1년	350.2304147465438	0.0364559678131547	매우 유망	N	FCF<=0	570349988.0	단기위험부채 존재
SOLV	Solventum Corp	0001964738	S&P 500	제외	PEG=매우 유망, PEGY=판정불가	66.62999725341797	8.88	2025		878000000.0		878000000.0	5035000000.0	0.0	5049000000.0	9245000000.0	35.322512942493354	64.67748705750664	0.5461330448891293	-23.713633770678836	-23.713633770678836	10.173832322533423	10.173832322533423	221.73913043478265			451.9782608695653			4013.5669565217404			5923.663697983799			1년	451.9782608695653	4013.5669565217404	5923.663697983799				-0.05704506560182544	-0.0856146900094599	판정불가		판정불가	1년	221.73913043478265	0.0458819889055428	매우 유망	N	주당순현금<=0 | FCF<=0	175300000.0	
EXE	EXPAND ENERGY Corp	0000895126	S&P 500	제외	PEG=매우 유망, PEGY=안심	100.12000274658203	7.57	2025	3.19	616000000.0	0.0	616000000.0	5009000000.0	0.0	18578000000.0	9709000000.0	65.67681267013116	34.323187329868844	1.9134823359769286	-18.27599118026376	-18.27599118026376	15.640157718209483	15.640157718209483	266.3736263736264	-39.005602482842995		541.2472527472528	-69.51120496568599		4097.241703296704	-526.199821590243		3992.330793944748	-625.5691242060086		1년	541.2472527472528	4097.241703296704	3992.330793944748	17.235352176773738	-2.289977065969335		7.650705162873903	7.6415351108598415	1년	17.235352176773738	안심	1년	266.3736263736264	0.0587151135460834	매우 유망	N	주당순현금<=0	240370000.0	
PGR	PROGRESSIVE CORP/OH/	0000080661	S&P 500	매우 유망	PEG=매우 유망, PEGY=안심	199.30999755859375	19.23	2025	6.97	138000000.0	10005000000.0	10143000000.0	2707900000.0	0.0	30323000000.0	92716000000.0	24.645031250253986	75.35496874974602	0.3270525044221062	12.642577792892364	12.642577792892364	9.707094111580936	9.707094111580936	33.541666666666664	153.53179173781882	14.762613935523516	75.58333333333333	315.56358347563764	38.025227871047036	1453.4675	6068.287710236512	731.2251319602345	629.2496702643857	2944.647927634708	266.8783005956672	3년	315.56358347563764	6068.287710236512	2944.647927634708	4.173408251840753	16.53448394471977	2.238838285249102	29.246726747151843	14.673988814110443	3년	16.53448394471977	안심	3년	153.53179173781882	0.0632253033831417	매우 유망	Y		588100000.0	
CMCSA	COMCAST CORP	0001166691	S&P 500	매우 유망	PEG=매우 유망, PEGY=안심	27.190000534057617	5.39	2025	4.85	9481000000.0	14000000.0	9495000000.0		2781000000.0	96903000000.0					2.559989215421947	1.8101914262604475	4.569575383791404	4.708684435583891	30.193236714975846	64.538600212299	49.1602769351271	68.88647342995169	137.577200424598	106.8205538702542	371.2980917874396	741.5411102885832	575.7627853606701	1265.5685343674763	2627.256696298128	2017.553416887513	3년	137.577200424598	741.5411102885832	2627.256696298128	7.668816853153708	15.184912028899905	11.819539541180399	5.9026691830682125	21.708970456527407	3년	15.184912028899904	안심	3년	64.538600212299	0.0708037572671213	매우 유망	Y		3709000000.0	단기위험부채 존재
GPN	GLOBAL PAYMENTS INC	0001123360	S&P 500	제외	PEG=매우 유망, PEGY=안심	72.36000061035156	5.78	2025	1.38	8336402000.0		8336402000.0	9090364000.0	35137000.0	22888767000.0	29559003000.0	43.641068056849704	56.3589319431503	0.7743416447435659	-3.1154424647119106	-3.2606318799378533	13.058035134094025	13.083154410084672	-6.168831168831167	143.56933796914083	56.79044787371208	-3.8376623376623336	295.63867593828166	122.08089574742417	-22.18168831168829	1708.791546923268	705.6275774201117	-130.65462703784868	2261.514002915603	875.162481299326	3년	295.63867593828166	1708.791546923268	2261.514002915603	-0.36673443742908257	11.100394238539282	4.454762701766002	10.570125780965919	14.607691669164794	3년	11.100394238539282	안심	3년	143.56933796914083	0.0909528128972828	매우 유망	N	주당순현금<=0	242008000.0	단기위험부채 존재
