티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
BRK-B	BERKSHIRE HATHAWAY INC	0001067983	S&P 500	제외	PEG=매우 유망, PEGY=판정불가	494.92999267578125	3035.0	2013		31583000000.0		31583000000.0			717419000000.0	502473000000.0	58.81004220045709	41.18995779954291	1.4277762188217078	19217.429611745007	19217.429611745007	-6.1688631364313755	-6.1688631364313755	10.08342401160682	4.546670945333653		28.66684802321364	17.593341890667304		87003.88375045339	53395.79263817527		17479.02835511686	10688.554629614817		3년	17.593341890667304	53395.79263817527	10688.554629614817				15237.402157404884	3078.698479157759	판정불가		판정불가	3년	4.546670945333653	-1.356786803048198	매우 유망	N	순현금차감PER<=0/불가	1643456.0	5.456827953612131	3.3321484465420603		-3.6745110006660475	489.001201171875	490.09475006103514	Y	Y	상승전환	
CVNA	CARVANA CO.	0001690820	S&P 500	제외	PEG=매우 유망, PEGY=판정불가	60.459999084472656	8.45	2025		2327000000.0		2327000000.0	4830000000.0	211000000.0	3441000000.0	8998000000.0	27.662995417638076	72.33700458236193	0.3824183151811514	-11.160306228458557	-12.101107113078916	8.47577577667825	8.587113159473558	431.4465408805031			871.3930817610062			7363.271540880502			12078.749011545284			1년	871.3930817610062	7363.271540880502	12078.749011545284				3.9638482769075742	6.556150077623091	판정불가		판정불가	1년	431.4465408805031	0.0196450196573154	매우 유망	N	주당순현금<=0	224277000.0	-26.10247667172054	-36.13065702478606		-36.81680683256951	67.01919975280762	72.4655899810791	N	N	주의	단기위험부채 존재
BXP	BXP, Inc.	0001037540	S&P 500	제외	PEG=매우 유망, PEGY=안심	69.11000061035156	1.74	2025	4.13	1478206000.0		1478206000.0	3300000000.0	750000000.0	5147190000.0	18473924000.0	21.790631889757613	78.20936811024238	0.2786192040196766	-11.467271777376329	-16.188142431814892	46.30877723432637	49.02192128860141	1833.3333333333333	-31.442996126467893	-20.67539892344771	3675.1666666666665	-54.385992252935786	-32.85079784689542	6394.79	-94.63162652010827	-57.16038825359803	9153.060256871368	-236.92899100616413	-182.70928628097326	1년	3675.1666666666665	6394.79	9153.060256871368	39.67851113916508	-0.5898017127133761	-0.35728429709397375			1년	39.67851113916508	안심	1년	1833.3333333333333	0.0252593330369052	매우 유망	N	주당순현금<=0 | FCF<=0	158869000.0	19.71245653620595	5.527565833964854		-12.441403340752654	64.63480026245117	63.94585006713867	Y	Y	강한 상승추세	단기위험부채 존재
EQT	EQT Corp	0000033213	S&P 500	제외	PEG=매우 유망, PEGY=안심	53.029998779296875	3.31	2025	1.24	110795000.0		110795000.0	7293209000.0	53650000.0	23752677000.0	14432726000.0	62.20355196984565	37.79644803015435	1.6457512600183777	-11.665122125911742	-11.75225631255918	19.54535374779716	19.571678275485212	635.5555555555555	-8.914070517873663		1279.611111111111	-9.328141035747326		4235.512777777778	-30.876146828323648		7887.012776306793	-158.22392521038074		1년	1279.611111111111	4235.512777777778	7887.012776306793	32.580405746164864	-0.39262888852746197		4.608492213143376	8.690349461110209	1년	32.580405746164864	안심	1년	635.5555555555555	0.0307531789738067	매우 유망	N	주당순현금<=0	615717000.0	-9.981329287634589	-4.484873303200065		-21.934346325541874	53.0023999786377	56.44870008468628	Y	N	주의	단기위험부채 존재
BKNG	Booking Holdings Inc.	0001075531	S&P 500	매우 유망	PEG=매우 유망, PEGY=안심	177.4600067138672	165.57	2025	93.0	17203000000.0	0.0	17203000000.0	16856000000.0	1880000000.0	-5578000000.0	34842000000.0	-19.060962274466924	119.06096227446692	-0.1600941392572183	10.631453169521125	-46.96835074604002	1.0076013380705808	1.3554892641173353	-4.1229949620707655	29.43673092572357	158.29965811243966	0.2540100758584689	67.37346185144713	325.0993162248793	42.05644825988669	11155.024078744102	53826.693787353266	-76.30088658359084	6185.93691914496	30231.73208098786	3년	67.37346185144713	11155.024078744102	6185.93691914496	88.2065174785462	121.51306900819843	249.4038550937658	278.4092649897362	156.88563871105757	3년	121.51306900819844	안심	3년	29.436730925723566	0.0342293898263709	매우 유망	Y		32639000.0	-1.5478464832914374	-12.984208792067164		-22.450601013528313	170.91800048828125	185.76376029968262	Y	N	주의	단기위험부채 존재
AIG	AMERICAN INTERNATIONAL GROUP, INC.	0000005272	S&P 500	제외	PEG=매우 유망, PEGY=안심	79.05999755859375	5.43	2025	2.56	1345000000.0	13230000000.0	14575000000.0	9191000000.0	250000000.0	41139000000.0	120092000000.0	25.51556462466895	74.48443537533105	0.3425623688505479	9.439817854436424	9.001490502354494	12.821395893951626	12.90211916321165	350.2304147465438	-25.267844119025785		708.9608294930875	-42.03568823805157		3849.6573041474653	-228.25378713262		4769.285887966753	-388.7095802949579		1년	708.9608294930875	3849.6573041474653	4769.285887966753	27.515757072361314	-1.77108984909654				1년	27.515757072361318	안심	1년	350.2304147465438	0.0366084593287829	매우 유망	N	FCF<=0	570349988.0	5.216926005838296	9.31968735095543		-8.696153248365302	76.68859985351563	77.61064998626709	Y	Y	상승전환	단기위험부채 존재
SOLV	Solventum Corp	0001964738	S&P 500	제외	PEG=매우 유망, PEGY=판정불가	78.01000213623047	8.88	2025		878000000.0		878000000.0	5035000000.0	0.0	5049000000.0	9245000000.0	35.322512942493354	64.67748705750664	0.5461330448891293	-23.713633770678836	-23.713633770678836	11.455364403931227	11.455364403931227	221.73913043478265			451.9782608695653			4013.5669565217404			5044.93891374694			1년	451.9782608695653	4013.5669565217404	5044.93891374694				-0.05704506560182544	-0.07312532244545575	판정불가		판정불가	1년	221.73913043478265	0.0516614473118467	매우 유망	N	주당순현금<=0 | FCF<=0	175300000.0	13.84997950685738	-1.1405417362958081		-9.438120862576838	77.29899948120118	74.91489999771119	Y	Y	상승전환	
EXE	EXPAND ENERGY Corp	0000895126	S&P 500	제외	PEG=매우 유망, PEGY=안심	91.5199966430664	7.57	2025	3.48	616000000.0	0.0	616000000.0	5009000000.0	0.0	18578000000.0	9709000000.0	65.67681267013116	34.323187329868844	1.9134823359769286	-18.27599118026376	-18.27599118026376	14.504093503742425	14.504093503742425	266.3736263736264	-39.005602482843		541.2472527472528	-69.51120496568599		4097.241703296704	-526.199821590243		4376.881395960052	-674.9561198548275		1년	541.2472527472528	4097.241703296704	4376.881395960052	18.605342436878065	-2.449350073044999		7.650705162873903	8.359599479348892	1년	18.605342436878065	안심	1년	266.3736263736264	0.0544501860082739	매우 유망	N	주당순현금<=0	240370000.0	-5.101623469295403	-16.412459193817774		-25.52689633199271	90.96559982299804	102.9105749130249	Y	N	주의	
CMCSA	COMCAST CORP	0001166691	S&P 500	매우 유망	PEG=매우 유망, PEGY=안심	22.295000076293945	5.39	2025	5.61	9481000000.0	14000000.0	9495000000.0		2781000000.0	96903000000.0					2.559989215421947	1.8101914262604475	3.661412033556957	3.800521085349443	30.193236714975846	64.538600212299	49.1602769351271	68.88647342995169	137.577200424598	106.8205538702542	371.2980917874396	741.5411102885832	575.7627853606701	1565.3872640361064	3226.04219668542	2482.474919894138	3년	137.577200424598	741.5411102885832	3226.04219668542	9.778532540680494	19.15889268112544	14.958785417526293	5.9026691830682125	26.47530461031244	3년	19.15889268112544	안심	3년	64.538600212299	0.0567321265337764	매우 유망	Y		3709000000.0	-19.1037717404702	-23.907847587607524		-31.357757418370703	23.884299926757812	27.08907245635986	N	N	주의	단기위험부채 존재
PGR	PROGRESSIVE CORP/OH/	0000080661	S&P 500	매우 유망	PEG=매우 유망, PEGY=안심	213.8300018310547	19.23	2025	6.71	138000000.0	10005000000.0	10143000000.0	2707900000.0	0.0	30323000000.0	92716000000.0	24.645031250253986	75.35496874974602	0.3270525044221062	12.642577792892364	12.642577792892364	10.462164536565904	10.462164536565904	33.541666666666664	153.53179173781882	14.762613935523516	75.58333333333333	315.56358347563764	38.025227871047036	1453.4675	6068.287710236512	731.2251319602345	579.7303874824696	2737.9028472491973	241.965638918139	3년	315.56358347563764	6068.287710236512	2737.9028472491973	3.8473555377555604	15.316313481571044	2.0524064461494005	29.246726747151843	13.677559976012832	3년	15.316313481571044	안심	3년	153.53179173781882	0.0681433103733446	매우 유망	Y		588100000.0	6.4413372894225995	3.7858579323263086		-15.375174913264999	209.0593997192383	211.51190002441408	Y	Y	상승전환	
